,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,relleno,relleno
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Producto,Medida,CASA DE LA CARNE CANGREJO,REY DE VIA ESPA•A,RIBA SMITH BELLA VISTA,RIBA SMITH TRANSISTMICA,REY EL DORADO,SUPER 99 CAMINO REAL,SUPER 99 EL DORADO,SUPER 99 TUMBA MUERTO,XTRA TUMBA MUERTO,EL MACHETAZO COSTA SUR,EL MACHETAZO METRO MALL,SUPER 99 LOS PUEBLOS,SUPER 99 PEDREGAL,SUPER 99 PLAZA TOCUMEN,XTRA LAS ACACIAS,XTRA LOS PUEBLOS,REY CHANIS,SUPER 99 CHANIS,SUPER 99 PORTOBELO,REY 12 DE OCTUBRE,SUPER 99 VISTA HERMOSA,CASA DE LA CARNE VIA PORRAS,REY CALLE 50,SUPER 99 SAN FRANCISCO,SUPER 99 V÷A PORRAS,EL FUERTE SAN MIGUELITO,EL MACHETAZO SAN MIGUELITO,REY BRISAS DEL GOLF,REY VILLA LUCRE,SUPER 99 BRISAS DEL GOLF,SUPER 99 LOS ANDES,SUPER 99 VILLA LUCRE,XTRA MARKET  VILLA LUCRE,XTRA OJO DE AGUA,XTRA PAN DE AZÈCAR,EL MACHETAZO CALIDONIA,EL MACHETAZO SANTA ANA,REY BOMBERO SANTA ANA,SUPER 99 LA CUCHILLA CALIDONIA,EL MACHETAZO NVO. TOCUMEN,EL MACHETAZO PUNTA DEL ESTE,REY LAS AMERICAS,SUPER 99 24 DE DICIEMBRE,SUPER 99 MA•ANITAS,XTRA  24 DICIEMBRE,XTRA PACORA,EL FUERTE VILLA ZAITA,REY MILLA 8,SUPER 99 LA CABIMA,MINISUPER EL VETERANO,MINISUPER CD,ABA EL CANGREJO/BELLA VISTA,FRUTER÷A  MIMI,ABT. JUAN CARLOS - BETHANIA,MINISUPER - JANET - BETHANIA,ABT. ELENA - BETHANIA,MINISUPER - ESTELA - BETHANIA,MINISUPER - EL PROGRESO - PARQ LEFEVRE,MINISUPER - EL CHEVERE - PAR. LEFEVRE,ABT. PANAMµ VIEJO - PAR. LEFEVRE,MINI SUPER MAGIC PAN,ABARROTERIA LOS AMIGOS,MINISUPER PUEBLO NUEVO,MINISUPER ROSITA,MINISUPER CHONSITO - PUEBLO NUEVO,MINISUPER FUENTE DE ORO - SAN FCO,MINISUPER ECLIPSE-SAN FCO.,M/S DALLYS - BOCA LA CAJA,MINISUPER PAN,ABT. LE‡N-SAN MIGUELITO,MINISUPER FLORECIENTE,ABT. DENIA-SAN MIGUELITO,MINISUPER - JIMMY LIAO,MINISUPER - EXCELENTE -JUAN D÷AZ,MINISUPER - JUAN D÷AZ,MINISUPER JULY ZHANG- JUAN D÷AZ,M/S SUSANA LUO JUAN DIAZ,ABT - LA PAGODA,ABT. LA PAGODA NO. 2,M/S MULTI CARNES,M/S CABALLEROS LOO,MINISUPER PLAZA AMADOR,ABT EDITH- SANTA ANA,MINISUPER EXPRESO-CALIDONIA,MINISUPER ROY-CALIDONIA,MINISUPER EL MILENIO,M/S VILLA ZAITA,M/S OCêANO,ABARROTER÷A BERAKA,,
Babilla (Carne de res de Primera) *,1 Kilogramos,,,6.55,6.55,,,,,6.53,6.55,6.52,,,,6.01,6.34,6.35,,,6.36,,,6.35,6.61,,,6.19,6.36,,6.55,,6.55,,6.33,,,6.39,,6.55,6.55,6.55,6.35,6.47,6.55,,6.53,,,6.55,,,,,,,,,,,,,,,,,,,,,,,,,,6.33,,,6.31,6.05,6.54,,,,,,,6.35,,,,
Bistec de Cinta *,1 Kilogramos,,5.33,5.62,5.62,5.62,,,5.62,5.27,,5.25,5.62,5.62,5.62,5.14,5.58,5.62,,,5.62,,5.62,5.62,,5.62,5.62,5.62,5.62,5.62,,,,5.6,4.97,5.22,,5.62,5.62,,5.62,5.62,5.62,5.29,5.39,4.97,5.6,4.99,5.62,5.62,,,,,,,,,,,,,,,,,,,,,,,,,,5.62,,,5.39,,5.62,6.06,5.62,5.62,,,,5.4,,,,
Carne Molida de Primera *,1 Kilogramos,,,4.74,4.74,4.45,4.74,4.74,4.74,,,,4.74,4.74,4.74,,,2.95,4.74,4.74,,4.74,4.74,2.95,4.74,4.74,4.58,,,,4.74,4.74,4.74,,3.97,4.56,4.74,4.74,,4.74,,4.74,,,4.25,,,3.99,4.45,,,,,,,,,,,4.41,,,,,,,4.74,,,,,,,,,4.74,,,4.38,4.1,4.73,,,,,,,,,,,
Carne para Sopa (Costilla) *,1 Kilogramos,,,,5.85,,4.45,,,4.22,,,,,4.45,,4.57,4,4.79,4.79,,4.45,,4,4.79,4.45,,5.75,,,,4.45,,,,,4.45,4.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.37,,,,,,,,,,,,
Puerco Liso *,1 Kilogramos,,5.99,14.26,14.26,,,,,5.13,5.62,5.95,,5.75,5.75,5.73,5.73,5.99,5.75,,,,7.8,5.99,5.75,,5.33,5.39,,,,,,,5.13,,5.75,5.15,,5.75,5.85,5.95,,6.35,5.59,5.53,5.53,5.39,,,,,,,,,,,,8.27,,7.17,,7.17,,,6.61,,,,7.5,,,7.72,,6.28,,,5.39,5.92,,,,7.17,7.17,,6.61,,7.17,,,
Pulpa Negra *,1 Kilogramos,8.89,7.69,11.72,,7.69,,7.69,7.69,7.66,7.69,7.69,7.69,7.69,7.69,7.66,7.67,7.69,7.69,7.69,7.69,7.69,8.89,7.69,7.69,7.69,7.58,7.58,7.69,7.69,7.69,7.69,7.69,7.66,6.73,,7.69,7.59,7.69,7.69,7.39,6.99,7.69,7.45,7.69,7.36,7.36,6.75,7.69,,,,,,8.49,8.82,,8.82,,8.82,8.82,8.27,,8.82,,7.72,8.27,,,7.72,8.38,8.16,7.72,8.71,8.27,8.49,8.71,,,6.58,8.26,,8.6,8.71,,,7.72,7.17,8.27,,,
Muslo de Pollo con Piel *,1 Kilogramos,3.83,,4.49,4.49,,3.45,3.45,3.45,3.43,3.49,3.59,4.15,3.45,3.45,3.43,3.43,3.99,3.45,3.45,3.49,3.45,,3.99,3.45,3.45,3.55,3.69,3.49,3.99,,3.45,3.45,,,3.57,3.59,3.85,3.49,3.45,3.75,2.69,3.49,3.45,,3.43,,3.44,3.99,3.45,,,,,,3.86,,4.41,,3.86,,,,,,,,,,,,3.64,,,,,,,3.28,3.06,4.19,4.08,3.86,,,,3.08,3.31,,3.86,,
Pechuga de Pollo con Piel *,1 Kilogramos,4.25,,4.25,4.25,,2.98,2.98,2.98,3.29,3.19,3.48,2.98,,2.98,2.95,2.96,3.08,2.98,2.98,3.08,2.98,4.12,3.08,2.98,3.69,3.04,3.09,3.08,3.08,2.98,,2.98,3.29,2.82,3.02,3.39,3.19,3.08,2.98,3.35,3.35,3.08,3.43,2.98,3.29,3.29,3.85,3.08,2.98,,,,,3.86,3.86,,4.08,,3.86,,,,,,,,,,,,4.08,3.31,,,,,,2.75,2.62,3.19,3.88,3.31,3.31,,,3.31,3.64,3.2,2.98,,
Pollo Entero s/plumas *,1 Kilogramos,2.93,,2.73,2.73,,2.59,2.59,2.59,2.07,2.29,2.29,2.59,2.59,2.34,2.03,2.07,2.09,2.59,2.59,2.09,2.59,2.79,2.09,2.59,2.59,2.12,2.09,2.2,2.3,2.59,2.35,2.59,2.18,2.07,2.07,2.29,2.19,2.15,2.49,2.25,2.25,2.15,2.59,2.59,2.13,2.13,2.2,2.3,2.34,,,,,2.6,2.6,,2.6,,2.43,2.2,2.43,,2.43,2.43,1.98,2.6,,,2.6,2.6,2.31,2.1,,2.6,2.05,2.54,,2.09,1.96,2.2,2.2,2.2,2.2,2.6,,1.94,2.43,2.2,2.31,,
Pescado Corvina *,1 Kilogramos,,,8.85,8.85,,,,,,,,,,,8.69,8.69,,8.39,8.39,8.29,,,,8.39,8.39,5.99,6.75,,,,,,,6.73,5.97,7.75,,,,6.75,6.75,,,,8.69,8.69,5.99,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sardina en Salsa de Tomate sin Picante *,155 Gramos,0.68,0.74,0.78,,0.79,0.44,0.44,0.44,0.42,0.65,0.55,0.44,0.44,0.44,0.48,0.42,0.59,0.44,0.44,0.45,0.44,0.65,0.59,0.44,0.44,0.48,0.65,0.59,0.59,0.44,0.44,0.44,0.42,0.48,0.49,0.55,0.55,0.55,0.44,0.7,0.55,0.65,0.67,0.44,0.48,0.45,0.45,0.69,0.44,0.85,0.85,0.75,0.9,0.85,0.6,0.9,0.65,0.78,0.75,,,0.7,0.8,0.75,0.75,0.55,,0.8,0.55,0.75,,0.5,0.55,0.85,0.5,0.8,0.65,0.49,0.45,0.65,0.6,0.75,0.85,0.5,0.85,0.6,0.8,0.55,0.85,,
Tuna en Agua *,142 Gramos,1.56,,1.7,1.7,1.69,1.15,1.25,1.25,1.03,1.27,1.15,,1.25,1.15,1.51,1.55,1.65,1.2,1.2,1.92,1.05,1.12,1.65,1.2,1.15,1.55,1.25,1.2,1.75,1.25,1.15,1.15,1.03,1.23,,1.57,1.57,1.69,1.2,1.25,1.09,1.24,1.2,1.2,1.66,,1.52,,1.15,,1.75,,1.15,,1.5,1.85,1.65,,,,,1.65,1.65,1.55,1.65,,,1.45,,1.65,1.75,1.75,,1.65,1.45,,,1.15,1.12,1.55,1.45,,,1.65,1.75,1.5,1.25,,,,
Jam¢n Cocido Empacado 4x4 *,1 Kilogramos,7.47,7.94,,,7.94,7.61,7.61,7.25,7.5,7.82,7.83,7.61,7.61,7.61,7.34,7.56,7.94,7.61,7.5,7.94,7.47,7.47,7.94,7.61,7.61,7.52,,7.94,9.37,7.61,7.61,7.61,7.76,7.25,7.32,7.83,7.83,7.94,,7.61,,,,,,,7.52,,7.61,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mortadela Nacional con Pimienta (empacado) *,1 Kilogramos,,,8.4,,,,8.36,8.36,8.31,,8.38,,8.36,8.36,8.33,8.33,,8.36,,5.71,,,,8.36,8.36,8.09,,,,,8.36,4.96,8.31,8.07,8.05,,,,,,,,,,,,8.09,,8.36,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Salchichas Nac Empacadas tipo frankfurter *,1 Kilogramos,4.54,3.42,7.61,7.67,3.42,3.42,7.61,3.42,3.42,3.42,3.42,3.42,3.42,3.42,3.42,3.42,3.97,3.42,3.42,3.42,3.42,,3.97,3.42,3.97,3.42,,3.42,4.82,4.63,3.42,3.42,3.42,3.42,3.42,3.42,3.95,4.83,3.42,3.42,3.42,,3.42,,3.42,3.42,3.42,3.97,3.42,,,,,,7.17,,,8.05,,,7.39,,7.61,,,,,,,7.72,,,7.17,,7.72,,,3.42,3.42,,,,,,,7.72,,7.72,,,
Arroz de Primera *,1 Kilogramos,0.88,0.87,0.88,0.88,0.87,0.88,0.88,0.88,0.86,0.88,0.88,0.88,0.88,0.88,0.85,0.88,0.87,0.88,0.88,0.87,0.88,0.88,0.87,0.88,0.88,0.88,0.88,0.87,0.87,0.88,0.88,0.88,0.85,0.86,0.86,0.88,0.88,0.88,0.88,0.88,0.88,0.87,0.88,0.88,0.86,0.88,0.88,0.87,0.88,,,,0.88,0.88,0.88,0.88,0.88,,,0.88,0.88,,0.88,0.88,0.88,0.88,0.88,,0.88,0.88,0.88,0.88,0.88,0.88,0.88,0.88,0.88,0.88,0.88,,0.88,0.88,0.88,0.88,0.88,0.88,,2,0.88,,
Codito *,454 Gramos,0.91,0.85,0.94,0.89,0.82,0.79,0.79,0.79,0.96,0.85,0.87,0.79,0.79,0.79,0.73,0.93,0.59,0.79,0.79,0.58,0.79,0.85,0.59,0.79,0.79,0.77,0.73,0.58,0.85,0.79,0.79,0.79,0.77,0.8,0.84,0.95,0.84,0.58,0.79,0.65,0.75,0.58,0.79,0.79,0.77,0.85,0.77,0.58,0.79,1,,1,0.95,1,0.9,0.9,0.95,0.9,0.85,0.85,0.85,1,0.85,,0.85,0.85,0.85,1,0.85,1,0.9,1,0.85,1,0.95,1,0.75,0.72,0.72,0.85,1.25,1,0.9,0.8,0.95,0.85,0.9,0.85,0.85,,
Crema  de Ma°z *,300 Gramos,,,0.62,0.63,0.65,0.6,0.6,0.6,,0.7,0.6,0.6,0.6,0.62,0.58,0.65,0.6,0.6,0.6,0.65,0.6,0.64,0.65,0.6,0.6,,0.75,0.65,,0.6,0.6,0.6,0.63,0.69,0.58,0.6,0.6,0.65,0.65,0.7,0.6,0.65,0.65,0.65,0.58,0.69,0.69,0.65,0.6,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,0.85,,0.85,,,,,,,,,,,
Hojuelas de Ma°z (corn flakes) cajeta *,300 Gramos,2.19,2.8,3.21,3.21,2.1,2.8,1.79,1.59,2.18,1.97,2.45,1.79,1.59,1.79,1.98,2.18,2.1,1.59,1.59,2.1,1.79,1.95,2.1,1.59,1.59,2.29,2.78,2.1,2.1,1.59,1.59,1.99,2.45,2.24,1.87,1.97,,2.1,1.99,2.78,2.78,2.8,1.79,,1.48,2.2,1.98,,1.59,,,,,,2.5,,3.75,,,,,,,2.5,,,,,,,,,,,,,2.35,,3.39,,3.95,,,,,2.5,3.5,,,,
Macarrones (espaguetti) Cal 3- 5 *,454 Gramos,0.59,0.69,0.59,0.59,0.58,0.58,0.58,0.58,0.55,0.58,0.58,0.54,0.58,0.58,0.53,0.53,0.58,0.58,0.58,0.58,0.58,0.59,0.58,0.58,0.58,0.52,0.65,0.58,0.59,0.59,0.58,0.58,0.57,0.43,0.5,0.65,0.58,0.58,0.58,0.65,0.65,0.58,0.58,0.58,0.56,0.55,0.77,0.58,0.58,1,,1,0.7,0.85,0.85,0.9,,,0.65,0.85,0.59,0.59,,0.59,0.85,0.59,0.59,0.59,0.59,,,0.59,,0.59,0.59,0.8,0.7,0.59,0.59,0.59,0.75,0.59,0.59,0.59,0.85,0.6,0.59,0.59,0.59,,
Pan de Michita *,1 Kilogramos,,,,,,,,,,,,,,,,,,,,2.5,,,,,,,,2.5,,,,2.45,,,,,,,,3.52,3.95,2.5,2.45,,,3.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Pan Molde *,500 Gramos,0.92,0.92,0.92,0.92,0.92,,,,0.9,,,,,,0.88,,0.92,0.92,0.92,,,0.92,0.92,0.92,,0.92,0.92,,,,,,,,,0.91,0.91,,,0.91,0.91,0.92,,0.92,0.9,0.9,,,,,,,,,,,0.92,,,,,,,0.92,,,,,,,,0.92,,0.92,0.92,0.92,,0.92,0.92,0.92,0.92,0.92,0.92,,,,0.92,0.92,,,
Tortilla de Ma°z *,10 Unidades,1.1,1,1.45,1.45,,1.15,1.15,1.15,0.94,1.1,1.05,1.15,1.15,,1.13,0.97,1,1.15,0.99,0.99,1.15,1.1,1,1.15,1.15,0.99,1.1,0.99,0.99,1.09,1.05,1.05,0.96,1.16,0.94,1.05,1.05,1,1.15,0.89,1.05,1,0.95,1.05,0.94,0.94,0.87,1,1.05,,,,1.25,1,1,1.15,1,1.25,1,1,1,,1,,1,1,,1,1,1,1.25,0.9,1,1.1,1,1,1,0.89,0.99,0.95,1,1,1,1,1.25,1,,1,1.1,,
Aj° Dulce y/o picoloro *,1 Kilogramos,4.2,,,,,2.2,2.2,1.99,1.97,1.95,,2.2,2.2,2.2,1.48,2.18,2.54,1.99,1.99,2.54,2.2,2.65,2.54,1.99,2.2,2.08,2.1,2.54,2.54,2.2,2.2,2.2,2.58,1.93,1.9,2.29,2.29,4.25,,2.21,2.21,2.54,2.05,1.99,1.97,1.97,2.25,,2.2,,,2.2,2.76,2.76,,,3.31,2.2,,,2.76,,3.31,,2.76,2.76,,,,2.43,2.76,,2.76,2.2,,,,2.18,1.87,2.2,3.31,2.2,2.2,,,,3.31,2.2,,,
Ajo *,1 Kilogramos,3.75,4.37,3.3,3.3,,,3,3,3.1,2.18,2.18,3,3,,2.37,3.1,,3,3,4.37,3,3.04,,3,3,,2.18,4.37,,3,,3,,2.67,3.1,,2.86,4.25,3,2.39,3,4.37,3,3,3.1,2.41,,,,,3.31,,,,,,,,,,,,,,,,,,,,,,,,,,,2.54,2.54,,,,,,,,,,,,
Cebolla Amarilla *,1 Kilogramos,1.76,1.75,1.76,1.76,1.75,1.76,1.76,1.76,1.73,1.75,1.72,1.76,1.76,1.76,1.7,1.7,1.75,1.76,1.76,1.75,1.76,1.67,1.75,1.76,1.76,1.73,1.76,1.75,1.75,1.76,,1.76,1.73,1.73,1.42,1.44,1.76,,1.76,1.76,1.76,1.75,1.76,1.76,1.74,1.74,1.76,1.75,1.76,1.76,,1.76,1.76,1.76,1.76,1.76,1.76,1.76,1.76,1.76,1.76,1.65,1.76,1.54,1.76,1.76,,1.76,1.76,1.76,1.76,1.76,1.76,1.76,1.76,1.76,1.76,,1.43,1.76,1.76,1.76,1.76,,1.76,1.76,1.76,1.76,1.76,,
Lechuga *,1 Kilogramos,1.75,,4.45,,3.49,,2.99,2.99,2.27,3.1,3.1,2.99,2.99,,2.27,,3.8,2.99,2.99,3.8,,1.75,3.8,2.99,2.99,2.62,3.1,3.48,3.89,2.99,2.99,2.99,3,2.27,2.6,3.1,3.1,3.3,3.04,3.1,3.1,3.8,2.99,2.99,2.27,2.27,2.3,3.48,2.99,3.31,1.76,,2.76,3.31,3.31,,2.76,3.31,3.31,3.31,3.31,3.51,3.31,3.31,3.31,2.76,,2.76,,3.31,3.31,2.2,3.86,3.31,2.76,3.31,3.31,2.62,2.7,3.2,3.86,3.31,2.2,,,4.41,3.86,,3.31,,
•ame Diamante *,1 Kilogramos,,0.88,0.88,0.88,0.88,0.78,0.79,0.79,0.76,0.88,,0.79,0.79,,0.86,,,0.79,0.79,0.88,,,,0.79,,0.88,0.88,0.88,0.88,0.79,,,,0.83,,0.88,0.88,0.88,0.79,0.88,0.88,0.88,0.79,0.79,0.77,0.77,,,0.79,,3.86,,,,,,,,0.88,0.88,0.88,,,0.82,0.88,0.88,,0.88,,0.88,,0.77,,0.88,,,,0.88,0.88,0.88,0.88,,,,,,0.88,0.88,0.88,,
