,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,relleno,relleno
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Producto,Medida,CASA DE LA CARNE CANGREJO,REY DE VIA ESPAÑA,RIBA SMITH BELLA VISTA,RIBA SMITH TRANSISTMICA,SUPER 99 CAMINO REAL,SUPER 99 EL DORADO,SUPER 99 TUMBA MUERTO,XTRA TUMBA MUERTO,EL MACHETAZO COSTA SUR,EL MACHETAZO METRO MALL,SUPER 99 LOS PUEBLOS,SUPER 99 PEDREGAL,SUPER 99 PLAZA TOCUMEN,XTRA LAS ACACIAS,XTRA LOS PUEBLOS,REY CHANIS,SUPER 99 CHANIS,SUPER 99 PORTOBELO,REY 12 DE OCTUBRE,SUPER 99 VISTA HERMOSA,CASA DE LA CARNE VIA PORRAS,REY CALLE 50,SUPER 99 SAN FRANCISCO,SUPER 99 VÍA PORRAS,EL FUERTE SAN MIGUELITO,EL MACHETAZO SAN MIGUELITO,REY BRISAS DEL GOLF,REY VILLA LUCRE,SUPER 99 BRISAS DEL GOLF,SUPER 99 LOS ANDES,SUPER 99 VILLA LUCRE,XTRA MARKET  VILLA LUCRE,XTRA OJO DE AGUA,XTRA PAN DE AZÚCAR,EL MACHETAZO CALIDONIA,EL MACHETAZO SANTA ANA,REY BOMBERO SANTA ANA,SUPER 99 LA CUCHILLA CALIDONIA,EL FUERTE VILLA ZAITA,REY MILLA 8,SUPER 99 LA CABIMA,EL MACHETAZO NVO. TOCUMEN,EL MACHETAZO PUNTA DEL ESTE,REY LAS AMERICAS,SUPER 99 24 DE DICIEMBRE,SUPER 99 MAÑANITAS,SUPER 99 MEGA MALL,XTRA  24 DICIEMBRE,XTRA CHEPO,XTRA PACORA,MINISUPER CD,ABA EL CANGREJO/BELLA VISTA,FRUTERÍA  MIMI,MINI MARKET ONLY,ABT. JUAN CARLOS - BETHANIA,MINISUPER - JANET - BETHANIA,ABT. ELENA - BETHANIA,MINISUPER - ESTELA - BETHANIA,MINISUPER - EL PROGRESO - PARQ LEFEVRE,MINISUPER - EL CHEVERE - PAR. LEFEVRE,ABT. PANAMÁ VIEJO - PAR. LEFEVRE,MINI SUPER MAGIC PAN,ABARROTERIA LOS AMIGOS,MINISUPER PUEBLO NUEVO,MINISUPER ROSITA,MINISUPER CHONSITO - PUEBLO NUEVO,MINISUPER FUENTE DE ORO - SAN FCO,MINISUPER ECLIPSE-SAN FCO.,M/S DALLYS - BOCA LA CAJA,MINISUPER PAN,ABT. LEÓN-SAN MIGUELITO,MINISUPER FLORECIENTE,ABT. DENIA-SAN MIGUELITO,MINISUPER - JIMMY LIAO,MINISUPER - EXCELENTE -JUAN DÍAZ,MINISUPER - JUAN DÍAZ,MINISUPER JULY ZHANG- JUAN DÍAZ,M/S SUSANA LUO JUAN DIAZ,MINISUPER PLAZA AMADOR,ABT EDITH- SANTA ANA,MINISUPER EXPRESO-CALIDONIA,MINISUPER ROY-CALIDONIA,MINISUPER EL MILENIO,M/S VILLA ZAITA,M/S OCÉANO,ABARROTERÍA BERAKA,ABT - LA PAGODA,ABT. LA PAGODA NO. 2,M/S MULTI CARNES,,
Babilla (Carne de res de Primera) *,1 Kilogramos,,6.55,,6.55,,6.55,,6.53,6.55,6.55,,,6.55,6.52,6.53,6.55,,,6.55,6.55,,6.55,6.55,,5.98,,6.55,,,,6.55,6.5,6.5,,6.55,6.55,,,,6.55,,6.55,6.55,6.55,,,,,6.27,,,,,,,,,,,,,,,,,,,,,,,,,,,6.33,,,,,,,,,,,6.33,6.05,6.54,,
Bistec de Cinta *,1 Kilogramos,5.6,5.62,,5.62,,5.62,5.19,5.17,5.62,5.62,5.62,,5.62,,,5.62,5.62,,5.62,5.19,,,5.62,5.62,5.59,,,5.62,5.62,5.62,5.19,5.52,5.43,5.56,5.62,5.62,5.62,,5.45,5.62,,5.62,5.62,,,5.62,,5.17,,,,,,,,,,,,5.29,,,,,,,,,,,,5.62,,,,5.62,,,,5.62,,,,,,,5.4,,5.62,,
Carne Molida de Primera *,1 Kilogramos,,,4.74,4.74,4.74,4.74,4.74,,,,,,3.79,,,3.99,3.79,3.79,3.79,4.74,,,3.79,,4.58,,,,3.79,3.79,3.79,,,,,,,,4.55,3.95,3.79,,,,,3.79,4.74,,,,,,,,4.74,,,,,,,,,,,,,,,,,,,,,4.74,,,,,,,,,,,,,,,
Carne para Sopa (Costilla) *,1 Kilogramos,4.7,,,5.85,,,,,4.95,,4.45,,4.45,3.54,,,4.45,4.45,,4.45,,,4.45,4.45,4.94,4.95,4.99,4.99,4.45,,,3.54,3.53,4.43,4.5,4.5,4.99,,4.85,4.63,,,,,,,,,,,,,,,,,,4.96,,,,,,,,,,,,,,,,,,4.96,,,,,,,5.51,,,,,,,,
Puerco Liso *,1 Kilogramos,7.8,,14.26,11.83,,,,,6.09,6.09,,4.99,,6.23,,5.99,4.99,4.99,,4.99,7.8,5.99,4.99,5.75,5.45,,,5.99,,,,5.48,5.52,,5.95,5.95,,5.99,5.54,,,5.95,5.95,,5.75,4.99,4.99,,5.7,4.97,,,,,7.17,,,7.17,,7.72,,,,7.72,,,6.61,,,,,7.17,7.17,7.72,,6.28,,,,8.27,6.28,,5.51,,7.17,7.17,,5.17,5.62,,
Pulpa Negra *,1 Kilogramos,8.89,,,14.99,7.69,,,,7.99,6.95,7.69,7.69,7.69,7.66,7.66,,7.69,,7.49,7.59,,,7.69,7.69,,7.95,7.69,7.69,7.69,7.69,7.69,7.66,6.97,,7.95,7.95,7.69,7.69,6.99,,,,7.95,7.69,7.69,7.69,7.69,,7.46,,,,,,8.49,8.82,,8.82,,8.82,,,,8.71,,8.71,8.27,,,7.72,,8.16,7.72,8.71,,,,,8.27,8.71,,,7.72,8.71,8.27,,6.94,7.28,8.26,,
Muslo de Pollo con Piel *,1 Kilogramos,4.25,,4.49,4.49,,,3.99,3.83,3.75,3.75,,,3.85,3.73,,3.6,3.85,3.85,3.6,,3.97,3.6,3.99,,3.59,3.75,3.6,3.6,3.85,3.85,3.85,3.58,,,,3.79,3.2,,3.59,3.6,,3.75,3.09,3.6,,,,3.73,3.23,3.73,,,,,3.86,,,3.53,,,,,,,,,,,,,,,,,,,,,3.31,,,,,3.31,,3.86,2.84,3.5,4.19,,
Pechuga de Pollo con Piel *,1 Kilogramos,3.37,,4.25,4.74,2.89,2.89,2.85,2.73,2.87,2.87,2.89,2.89,2.89,2.38,2.85,2.97,2.89,2.89,2.97,2.89,3.37,2.97,2.89,2.89,3.05,2.98,,2.97,2.89,,2.89,2.87,2.87,2.96,2.75,2.98,2.97,,3.05,2.97,2.89,,2.75,2.97,,2.89,2.89,,2.81,2.73,,,,,3.86,3.86,,3.86,,,,,,,,3.31,,,,,,4.08,,,,,,,3.31,,,,,3.64,2.98,2.78,2.75,2.62,3.19,,
Pollo Entero s/plumas *,1 Kilogramos,2.93,2.2,2.73,2.73,2.09,2.09,2.09,2.04,2.09,2.05,2.09,2.09,2.09,2.06,2.06,2.05,2.09,2.09,2.55,2.09,2.79,2.05,2.09,2.09,2.2,2.05,2.05,2.05,2.09,2.09,2.09,2.06,2.07,2.03,2.19,2.09,2.05,2.09,2.2,1.96,2.09,2.05,2.09,2.05,2.09,2.09,2.09,2.03,,2.03,,,,,2.6,2.6,,2.6,,2.54,,2.54,,2.6,,2.2,2.6,,,2.43,2.54,2.2,2.6,2.6,2.6,2.07,,,2.09,2.2,2.2,,2.09,2.43,2.43,2.31,2.05,2.18,1.96,,
Pescado Corvina *,1 Kilogramos,,,,8.85,,,5.51,7.82,6.95,6.95,,,,8.69,8.69,,,8.39,7.81,,,7.81,8.39,8.39,5.99,6.95,,,,,,,8.69,,6.95,,,,,,,6.95,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sardina en Salsa de Tomate sin Picante *,155 Gramos,0.74,,,0.73,0.39,0.44,0.44,,0.55,0.47,0.42,0.41,0.42,0.42,0.42,0.69,0.42,0.39,0.68,0.44,0.74,0.75,0.42,0.39,0.38,0.55,0.45,0.45,0.41,0.41,0.39,0.45,0.33,0.49,0.47,0.47,0.68,0.39,0.38,0.68,0.39,0.47,0.55,,,0.39,0.39,0.38,0.37,0.38,0.85,0.75,0.95,0.85,0.85,0.6,0.85,0.55,0.85,0.85,0.85,0.55,,0.8,,0.75,0.85,0.8,0.8,0.85,0.75,0.75,0.5,0.85,0.55,0.5,0.65,0.85,0.8,0.65,0.75,0.75,0.49,0.55,0.55,,,0.45,0.55,,
Tuna en Agua *,142 Gramos,1.56,,,1.58,1.15,1.25,1.25,,,1.57,1.15,1.15,1.15,1.03,1.03,,1.15,1.15,1.29,0.99,1.44,,1.09,1.15,1.14,1.57,1.7,1.7,1.15,1.09,1.15,1.13,1.14,1.54,1.57,1.57,1.65,1.15,1.56,1.29,1.25,1.15,1.09,,1.25,1.2,,1.46,1.23,1.23,1.75,,1.85,,1.5,1.58,1.65,1.25,1.6,1.6,,1.55,,1.25,,,,1.5,,,1.35,,1.5,,1.65,1.65,1.75,,,,,1.7,1.25,1.25,1.65,,1.15,1.12,1.55,,
Jamón Cocido Empacado 4x4 *,1 Kilogramos,,6.5,,8.99,7.91,,7.91,,8.27,8.27,7.91,7.91,,7.85,,6.5,5.49,,8.2,7.91,7.72,8.2,5.49,7.91,7.76,8.27,8.2,7.94,5.49,7.91,7.91,8.25,8.25,,8.27,8.27,8.25,,,,,,,,,,7.91,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mortadela Nacional con Pimienta (empacado) *,1 Kilogramos,,,8.4,8.4,8.36,,,,8.38,8.38,,4.96,4.96,,,,4.96,4.96,,,,,4.96,4.96,4.87,,,,4.96,4.96,4.96,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Salchichas Nac Empacadas tipo frankfurter *,1 Kilogramos,7.17,3.42,7.67,7.67,,,4.17,3.42,3.95,3.95,4.17,4.17,4.17,3.42,3.42,3.42,4.17,3.42,3.42,3.42,7.17,3.42,4.17,4.17,3.42,3.95,3.42,3.42,4.17,4.17,7.61,3.42,3.42,3.42,3.42,3.42,3.42,3.95,3.42,3.42,3.42,3.42,,3.42,3.42,,3.42,,,3.42,,,8.49,,,,,,,,,,,,,7.17,,,,,,7.39,,,,7.72,,,,,,,7.72,7.39,,7.61,3.42,3.06,,,
Arroz de Primera *,1 Kilogramos,0.88,,0.88,0.88,0.88,0.88,0.88,,0.87,0.88,0.88,0.88,0.88,0.86,0.86,,0.88,0.88,,0.88,0.88,,0.88,0.88,0.88,0.88,,,0.87,0.88,0.88,0.87,0.86,0.88,0.87,,0.87,0.88,,0.87,0.88,0.87,0.87,0.87,0.88,0.88,0.88,0.86,0.83,0.88,,,0.88,,0.88,0.88,,0.88,,,0.88,0.88,,0.88,,0.88,0.88,0.88,,0.88,0.88,0.88,0.88,0.88,0.88,0.88,0.88,0.88,0.88,0.88,0.88,0.88,0.88,0.88,0.88,0.88,,0.88,0.88,,
Codito *,454 Gramos,0.67,0.59,0.88,0.88,0.79,0.79,0.79,0.74,0.65,0.82,0.79,0.79,0.79,0.78,0.7,0.59,0.79,0.79,0.59,0.79,0.67,0.59,0.79,0.79,0.84,0.82,0.75,0.59,0.79,0.79,0.79,0.74,0.77,0.8,0.82,0.82,,0.79,0.84,0.59,0.71,0.65,0.65,0.85,0.95,0.71,0.71,0.8,0.78,0.8,1,1,0.95,1,1,0.9,0.85,0.85,0.95,0.85,0.85,0.85,,0.85,0.85,0.85,0.85,,1,0.85,,0.9,0.9,0.9,,0.95,1,0.85,0.85,0.9,0.8,0.95,0.85,0.85,0.85,0.85,,0.78,0.95,,
Crema  de Maíz *,300 Gramos,,0.72,0.73,0.55,0.6,0.6,0.6,,0.53,0.69,0.6,0.6,0.65,0.5,0.51,0.65,0.65,0.65,0.65,0.6,0.64,0.72,0.65,0.65,0.69,0.53,0.72,0.72,0.65,0.7,0.6,0.52,0.58,0.51,0.53,0.53,0.79,0.65,0.6,0.85,0.7,0.7,0.53,,0.65,0.6,,0.69,0.73,0.68,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,,1.25,,0.75,,,
Hojuelas de Maíz (corn flakes) cajeta *,300 Gramos,3.13,3.05,3.21,2.43,1.79,1.79,1.79,2.18,2.96,3.09,1.59,1.59,1.59,1.97,1.97,1.75,1.59,1.99,1.95,1.59,3.05,1.75,1.59,1.59,3.15,1.97,1.75,2.1,1.49,1.59,1.59,1.98,1.73,1.98,3.09,3.09,,1.99,3.15,,3.09,,3.09,2.98,,,,1.48,1.39,,,,,,,2.95,,3,,,,,,,2.8,3.5,,,,,,,,,,,,,,,,,3.75,3.95,,,,,,,
Macarrones (espaguetti) Cal 3- 5 *,454 Gramos,,0.58,0.59,0.78,0.63,0.55,0.7,0.58,0.75,0.58,0.63,0.63,0.63,0.58,0.58,0.58,0.61,0.63,0.58,0.63,0.68,0.58,0.63,0.65,0.65,,0.58,0.58,0.63,0.63,0.63,0.58,0.54,0.58,0.67,0.75,0.58,0.63,0.52,0.58,0.55,0.55,0.55,0.85,0.61,0.55,0.55,0.6,0.57,0.6,,,,1,0.85,0.69,0.85,0.85,,,,,0.85,0.85,0.85,0.59,0.7,,,0.59,,0.85,0.85,,0.85,0.85,0.59,,,,0.59,,0.85,,0.85,0.85,0.8,0.64,,,
Pan de Michita *,1 Kilogramos,,2.25,,,,,,,,,,,,,,2.5,,,,,,2.5,,,,,2.5,2.5,,,,,,3,,,,,,2.5,,3.52,,,,,3.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Pan Molde *,500 Gramos,,0.92,0.92,0.92,0.92,0.92,0.92,0.9,0.91,0.91,,0.92,0.92,0.88,0.88,0.92,0.92,0.92,,0.92,,0.92,0.92,0.92,0.89,0.91,,0.92,0.92,,0.92,0.9,0.87,0.9,0.92,0.91,0.92,0.92,0.92,0.92,,0.92,,,,,,,0.86,0.9,,,,,,,,,,,,,,,,0.92,,,,,,,,,,,,,0.92,0.92,,,,,0.92,,0.92,0.92,,,
Tortilla de Maíz *,10 Unidades,1.1,1.13,1.45,1.4,0.99,0.99,0.99,0.97,0.98,1.15,1.15,1.15,1.05,0.92,0.95,1.13,1.05,0.99,1.13,0.99,1.1,1.19,0.99,1.05,0.87,1.15,1.19,1.35,1.15,1.05,1.15,0.92,0.85,0.92,0.99,0.99,1.19,0.99,0.87,1.15,1.05,0.98,0.98,1.05,1.05,1.05,1.05,0.89,,0.96,1.15,,1.25,,1,1,1,1,1.1,1,1,1,1.15,1,1,1,1,,1,1,1.15,,1,1,1.1,1,1,,1,1,1,1,1,,1,1.1,,0.99,0.95,,
Ají Dulce y/o picoloro *,1 Kilogramos,2.2,2.1,3.8,5.35,,,,2.33,2.35,2.45,2.2,2.35,2.2,2.33,2.13,2.4,2.35,2.35,2.1,,2.2,2.1,2.2,2.35,2.45,2.45,2.1,2.4,2.35,2.35,2.55,2.13,2.33,2.43,2.45,2.45,2.1,2.35,2.45,2.1,2.45,2.45,2.45,2.1,2.35,2.35,2.35,2.41,2.15,2.38,2.76,2.2,3.2,2.2,2.76,3.31,,,2.2,2.76,2.76,,,2.98,,3.31,2.76,,2.76,,,3.31,2.2,2.76,2.2,2.76,3.31,,,2.2,,,3.86,3.31,2.2,3.31,1.96,1.96,1.87,,
Ajo *,1 Kilogramos,2.49,,3.3,3.3,,,2.75,,2.95,2.99,2.75,2.75,3.06,2.73,2.73,3.64,2.99,2.99,3.64,,2.47,3.64,3.19,2.75,,2.99,4.6,,2.99,2.75,2.75,2.94,2.77,2.97,2.69,2.69,3.64,2.75,1.95,,,2.31,2.99,3.64,,2.75,2.99,,,2.37,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.2,2.2,2.76,2.2,,2.18,,,
Cebolla Amarilla *,1 Kilogramos,,,1.76,1.76,1.76,,1.76,,,,,,,,,,,,,,1.76,,,,1.76,1.76,,,,,,,,,,1.76,,,1.76,,,,1.76,1.75,,,,,,,,,,,,,,1.76,,1.76,1.76,,,,,,1.76,,,,1.76,,1.76,1.76,,,,,,,,,,,,1.76,,,1.76,,
Lechuga *,1 Kilogramos,2.75,2.99,4.45,4.45,,,2.99,4.03,2.89,3.65,2.99,2.99,2.99,2.97,2.97,2.99,3.79,2.99,2.99,,2.05,2.99,2.99,2.99,3.65,3.69,2.99,2.99,2.99,2.99,3.79,1.93,3.07,3.63,2.99,3.65,2.99,3.79,3.65,3.7,,3.65,3.65,2.99,2.99,3.79,3.79,1.93,,2.96,3.31,,4.31,3.31,3.31,3.31,,3.31,3.31,3.31,,2.76,,3.31,,3.1,2.76,,3.31,,,3.31,3.31,3.31,3.86,2.76,3.31,,,,,,5.51,3.86,3.31,3.86,4.38,2.97,,,
Ñame Diamante *,1 Kilogramos,,0.88,0.88,0.88,,,0.79,0.86,0.69,0.88,0.79,0.79,0.79,0.76,0.76,0.88,,,0.88,0.79,,0.88,0.79,,0.88,0.69,,0.88,0.79,,,0.77,0.83,0.86,0.88,0.88,0.88,0.79,0.85,0.88,0.79,0.88,0.88,0.88,0.79,0.79,0.77,0.77,0.77,0.82,,,0.88,,,,,,,0.88,,,,,,0.88,0.88,,0.88,,,0.88,,,0.88,,,,,0.77,,,,,0.88,0.88,0.79,0.79,0.88,,
Papa Nacional *,1 Kilogramos,1.54,1.54,1.54,1.54,1.54,1.52,1.54,1.52,1.54,1.54,1.54,1.54,1.54,1.51,1.5,1.54,1.54,1.54,1.54,1.54,1.54,1.54,1.54,1.54,1.5,1.54,1.54,1.54,1.54,1.54,1.57,1.52,1.48,1.48,1.54,1.54,1.54,1.54,1.5,1.54,1.54,1.54,1.54,1.54,1.54,1.54,1.54,1.51,1.22,1.52,1.54,1.54,1.54,1.54,1.54,1.54,,1.54,1.54,1.54,1.32,1.54,,1.54,,1.54,1.54,,1.32,1.54,1.54,1.54,1.32,1.54,1.54,1.32,1.54,,1.54,1.43,,1.54,1.54,1.54,1.54,1.54,1.3,1.54,1.54,,
