,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,relleno,relleno
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Producto,Medida,CASA DE LA CARNE CANGREJO,REY DE VIA ESPAÑA,RIBA SMITH BELLA VISTA,RIBA SMITH TRANSISTMICA,REY EL DORADO,SUPER 99 CAMINO REAL,SUPER 99 EL DORADO,SUPER 99 TUMBA MUERTO,XTRA TUMBA MUERTO,EL MACHETAZO COSTA SUR,EL MACHETAZO METRO MALL,SUPER 99 LOS PUEBLOS,SUPER 99 PEDREGAL,SUPER 99 PLAZA TOCUMEN,XTRA LAS ACACIAS,XTRA LOS PUEBLOS,REY CHANIS,SUPER 99 CHANIS,SUPER 99 PORTOBELO,REY 12 DE OCTUBRE,SUPER 99 VISTA HERMOSA,CASA DE LA CARNE VIA PORRAS,REY CALLE 50,SUPER 99 SAN FRANCISCO,SUPER 99 VÍA PORRAS,EL FUERTE SAN MIGUELITO,EL MACHETAZO SAN MIGUELITO,REY BRISAS DEL GOLF,REY VILLA LUCRE,SUPER 99 BRISAS DEL GOLF,SUPER 99 LOS ANDES,SUPER 99 VILLA LUCRE,XTRA MARKET  VILLA LUCRE,XTRA OJO DE AGUA,XTRA PAN DE AZÚCAR,EL MACHETAZO CALIDONIA,EL MACHETAZO SANTA ANA,REY BOMBERO SANTA ANA,SUPER 99 LA CUCHILLA CALIDONIA,EL MACHETAZO NVO. TOCUMEN,EL MACHETAZO PUNTA DEL ESTE,REY LAS AMERICAS,SUPER 99 24 DE DICIEMBRE,SUPER 99 MAÑANITAS,XTRA  24 DICIEMBRE,XTRA PACORA,EL FUERTE VILLA ZAITA,REY MILLA 8,SUPER 99 LA CABIMA,MINISUPER EL VETERANO,MINISUPER CD,ABA EL CANGREJO/BELLA VISTA,FRUTERÍA  MIMI,ABT. JUAN CARLOS - BETHANIA,MINISUPER - JANET - BETHANIA,ABT. ELENA - BETHANIA,MINISUPER - ESTELA - BETHANIA,MINISUPER - EL PROGRESO - PARQ LEFEVRE,MINISUPER - EL CHEVERE - PAR. LEFEVRE,ABT. PANAMÁ VIEJO - PAR. LEFEVRE,MINI SUPER MAGIC PAN,ABARROTERIA LOS AMIGOS,MINISUPER PUEBLO NUEVO,MINISUPER ROSITA,MINISUPER CHONSITO - PUEBLO NUEVO,MINISUPER FUENTE DE ORO - SAN FCO,MINISUPER ECLIPSE-SAN FCO.,MINISUPER LAM-SAN FRANCISCO,M/S DALLYS - BOCA LA CAJA,ABT. LEÓN-SAN MIGUELITO,MINISUPER FLORECIENTE,ABT. DENIA-SAN MIGUELITO,MINISUPER - JIMMY LIAO,MINISUPER - EXCELENTE -JUAN DÍAZ,MINISUPER - JUAN DÍAZ,MINISUPER JULY ZHANG- JUAN DÍAZ,M/S SUSANA LUO JUAN DIAZ,ABT - LA PAGODA,ABT. LA PAGODA NO. 2,M/S MULTI CARNES,M/S CABALLEROS LOO,MINISUPER PLAZA AMADOR,ABT EDITH- SANTA ANA,MINISUPER EXPRESO-CALIDONIA,MINISUPER ROY-CALIDONIA,MINISUPER EL MILENIO,M/S VILLA ZAITA,M/S OCÉANO,ABARROTERÍA BERAKA,,
Babilla (Carne de res de Primera) *,1 Kilogramos,,6.55,6.55,6.55,6.55,,,,6.53,6.55,6.45,,,6.55,,6.43,6.55,,,6.55,,,6.55,,,,6.35,6.55,6.55,,6.55,,6.53,6.27,6.1,6.55,,,,6.55,6.55,6.55,,,6.53,6.31,,6.55,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.31,6.31,6.54,,,,,,,,,,,
Bistec de Cinta *,1 Kilogramos,5.62,5.07,5.62,5.62,5.07,5.62,,5.62,5.05,,5.59,,,,5.05,5.05,,,,5.07,,5.62,,,,,5.35,5.07,5.07,5.62,5.62,,4.95,5.05,5.01,5.62,5.25,,5.62,5.62,5.62,5.07,,5.62,5.05,,5.98,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.4,4.95,5.39,,,,,,,,,,,
Carne Molida de Primera *,1 Kilogramos,,,4.74,4.74,4.45,4.74,4.74,4.74,,,,4.74,4.74,4.74,4.72,,,4.74,4.74,,4.74,,4.45,4.74,4.74,4.58,,,,4.74,4.74,4.74,,4.43,4.56,,,4.45,4.74,,,,,4.74,,,4.69,4.45,4.69,,,,,,,,,,,,,,,,,,,,,,,,,,4.74,,,4.29,,3.85,,,,,,,,,,,
Carne para Sopa (Costilla) *,1 Kilogramos,4.7,,,5.05,,,4.45,4.45,,,,,,,,,5.29,,4.45,,,4.7,,4.45,4.45,4.35,4.39,,,,4.45,,4.43,4.42,4.33,4.35,4.35,,4.45,4.45,,,,,,,4.95,,4.45,,,,,,,,5.51,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Puerco Liso *,1 Kilogramos,7.8,,,11.27,,,5.49,,5.47,6.15,6.15,,6.35,6.35,6.16,6.14,,,,6.15,6.35,7.8,,,6.35,5.49,5.59,,,,,,,5.57,,5.98,5.39,,,5.75,5.75,6.89,,,5.75,5.72,5.85,,6.35,,,,,7.72,,,7.17,,7.72,,7.17,,7.72,,,6.61,,,,7.5,7.17,7.17,7.72,6.61,,,,5.39,5.48,5.65,7.2,,7.17,,,6.61,6.5,7.17,7.39,,
Pulpa Negra *,1 Kilogramos,8.89,6.89,,13.18,6.95,7.69,7.69,7.69,7.66,7.75,7.72,7.69,7.69,7.69,7.66,7.66,6.89,7.69,,6.89,7.69,8.89,6.89,7.69,7.69,7.72,7.85,6.89,6.89,7.69,7.69,7.69,6.87,6.93,7.74,7.85,7.85,6.89,,7.79,7.75,6.89,7.69,7.69,7.66,,7.69,6.95,7.69,,,,,8.49,8.82,,8.82,,8.82,8.82,7.72,,8.6,8.38,7.72,8.27,,7.72,,8.38,8.16,7.72,8.71,8.27,8.71,,,7.15,7.02,,8.27,8.6,8.71,8.49,,8.27,8.71,8.27,8.49,,
Muslo de Pollo con Piel *,1 Kilogramos,3.83,,4.49,4.49,3.99,3.6,3.6,3.6,3.58,3.59,3.65,3.6,3.6,3.6,3.58,3.58,3.99,3.59,3.6,3.99,3.6,3.83,3.99,3.6,3.9,3.6,3.69,3.99,3.99,3.6,3.6,3.6,3.57,3.58,,3.59,3.79,3.6,,3.65,3.65,2.53,3.6,3.6,3.57,3.58,3.67,3.99,3.59,,,,,,,,4.08,,4.41,,,,,,,,,,,,,,,,,,,3.28,3.28,,4.67,,,,,4.41,,2.98,3.86,,
Pechuga de Pollo con Piel *,1 Kilogramos,5.72,,4.25,4.25,,3.2,3.2,3.2,2.97,3.35,3.39,3.2,3.2,3.2,2.95,2.95,3.3,3.59,3.2,3.3,3.2,3.96,3.3,3.2,,3.15,3.19,3.3,3.3,3.2,3.2,3.2,3.18,2.97,,3.55,3.29,3.3,3.2,3.19,3.25,3.3,3.2,3.2,,2.97,2.99,3.3,3.2,,,,,3.86,,,,,3.86,,,,,,,,,,,,4.08,,,2.76,,3.31,,2.71,2.97,3.63,3.85,3.31,3.31,3.09,,3.31,,,2.98,,
Pollo Entero s/plumas *,1 Kilogramos,2.63,2.45,2.73,2.73,2.09,2.6,2.6,2.6,2.07,2.29,2.29,2.6,2.6,2.6,1.86,2.27,2.1,2.6,2.6,2.18,2.6,2.62,2.09,2.6,2.6,2.18,2.29,2.1,2.1,2.6,2.6,2.6,2.07,2.07,2.16,2.39,,2.1,2.6,2.19,2.19,2.1,2.6,2.25,2.08,2.17,2.15,2.45,2.6,,,,,2.6,2.6,,2.6,,2.43,2.2,2.2,,2.09,2.6,2.6,2.6,,2.6,,2.14,2.6,2.6,2.6,1.87,1.87,2.2,2.6,1.96,1.87,1.87,2.2,,2.6,2.2,,1.98,2.2,1.98,2.09,,
Pescado Corvina *,1 Kilogramos,,,,8.85,8.29,8.39,,,8.37,6.75,,,,,7.49,7.49,,8.39,8.39,8.29,,,,,8.39,5.99,6.35,,,,,8.39,5.49,6.73,5.97,5.98,,,,6.75,,,,,6.73,6.73,5.99,7.65,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sardina en Salsa de Tomate sin Picante *,155 Gramos,0.68,0.69,,0.77,0.59,0.44,0.44,0.44,0.39,0.69,0.65,0.44,0.44,0.44,0.39,0.41,0.45,0.44,0.44,0.69,0.44,0.65,0.69,0.44,0.44,0.38,0.55,0.69,0.59,0.44,0.44,0.4,0.41,0.4,0.44,0.55,0.65,0.65,0.44,0.55,0.65,,0.41,0.44,0.38,,0.38,0.69,0.69,0.85,0.85,0.9,0.95,0.88,0.75,0.95,0.85,,0.85,0.55,0.5,0.75,0.75,0.5,0.8,0.85,0.8,0.85,0.8,0.75,,0.5,0.85,0.55,0.5,0.65,0.65,0.5,0.45,,0.6,0.8,0.75,0.5,0.85,0.85,,0.55,0.55,,
Tuna en Agua *,142 Gramos,1.56,,,1.65,1.67,1.05,1.05,1.05,1.03,1.57,,1.25,,1.25,1.23,1.23,1.2,1.05,1.05,1.2,1.05,1.52,1.2,1.05,1.05,1.55,1.59,1.29,1.65,1.25,1.05,1.05,1.13,1.22,1.5,1.59,1.55,1.69,1.05,1.09,1.57,1.25,1.2,1.2,1.06,,1.55,1.75,1.05,,,1.85,1.85,,,,1.65,,,,,1.65,1.65,1.55,1.65,,,,,1.65,,1.75,,,1.55,,,1.15,1.12,1.55,1.45,,,1.35,1.75,1.75,1.65,1.65,,,
Jamón Cocido Empacado 4x4 *,1 Kilogramos,7.3,7.83,,,7.83,5.49,7.47,5.49,7.34,7.61,7.61,7.47,7.47,7.47,7.34,7.45,7.83,7.47,7.47,7.83,7.47,7.3,7.83,7.47,7.47,7.34,7.61,,7.83,,7.47,5.49,7.43,7.28,7.3,7.61,7.61,7.83,,,,,,,,,7.32,7.83,7.47,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mortadela Nacional con Pimienta (empacado) *,1 Kilogramos,,,8.4,8.4,,4.96,8.36,4.96,,8.38,8.38,,,,8.33,8.33,8.58,,8.36,8.58,4.96,,,,,8.09,8.38,,,8.36,8.36,4.96,8.31,8.07,8.05,,,,,,,,,,,,8.09,,8.36,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Salchichas Nac Empacadas tipo frankfurter *,1 Kilogramos,,3.42,,7.67,3.42,4.63,3.42,3.42,3.42,3.42,3.42,3.42,3.42,3.42,3.37,3.37,4.08,,3.42,3.42,3.42,4.85,3.97,3.42,3.97,3.42,3.42,3.45,3.42,3.42,3.42,3.42,3.55,3.55,3.42,3.42,3.42,3.42,3.42,3.42,,3.42,,3.42,3.33,3.55,3.42,4.3,3.42,,,,8.49,,,,,4.96,,7.72,,,,,7.75,,,,,,,7.72,,,7.72,,,,3.42,,,,,,4.96,,7.39,,,,
Arroz de Primera *,1 Kilogramos,0.88,0.87,0.88,0.88,0.87,0.88,0.88,0.88,0.85,0.88,0.88,0.88,0.88,0.88,0.84,0.85,0.87,0.88,0.88,0.87,0.88,0.88,0.87,0.88,0.88,0.88,0.88,0.87,0.87,0.88,0.88,0.88,0.85,0.85,0.87,,0.88,0.87,0.88,0.88,0.88,0.87,0.88,0.88,0.86,0.86,0.88,0.87,0.88,,,,0.88,0.88,0.88,,,,,0.88,0.88,,0.88,0.88,0.88,0.88,0.88,0.88,,,0.88,0.88,0.88,0.88,0.88,0.88,0.88,0.88,0.88,0.88,0.88,0.88,0.88,0.88,0.88,0.88,0.88,0.88,0.88,,
Codito *,454 Gramos,0.89,0.82,0.89,0.89,0.85,0.79,0.79,0.76,0.87,0.83,0.87,0.79,0.79,0.79,0.58,0.64,0.85,0.79,0.79,0.85,0.76,0.85,0.85,0.79,0.79,0.77,0.75,0.82,0.85,0.76,0.79,0.79,0.78,0.57,0.5,0.82,0.82,0.85,0.79,0.75,0.75,0.89,0.79,0.79,0.73,0.73,0.77,0.85,0.76,1,,1,0.95,1,1,0.95,0.95,0.85,0.85,0.85,0.85,1,0.85,0.9,0.9,0.85,0.85,0.85,1,1,0.9,0.9,0.85,0.85,0.95,1,0.75,0.8,0.85,0.95,0.95,1,0.9,0.8,0.95,0.85,0.9,0.9,0.85,,
Crema  de Maíz *,300 Gramos,,0.65,0.65,0.63,0.65,0.6,0.65,0.6,0.59,0.75,0.7,0.6,0.6,0.6,0.69,0.69,0.79,0.6,0.6,0.65,0.65,0.64,,0.6,0.6,0.6,0.6,,0.72,0.7,0.6,0.6,0.63,0.58,0.59,0.6,0.6,0.65,0.6,0.49,0.6,,0.6,,0.58,0.69,0.6,0.65,0.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.99,,0.85,,,,,,,1,,,,
Hojuelas de Maíz (corn flakes) cajeta *,300 Gramos,3.13,,3.21,3.21,2.1,1.79,1.79,1.79,2.93,1.97,,,1.79,1.79,2.18,2.18,3.13,1.79,1.79,1.7,1.79,2.13,3.13,1.79,1.79,3.15,2.65,,3.13,1.79,,2.29,2.93,2.63,2.62,2.95,2.95,1.7,1.79,2.49,2.49,,,,3.47,2.47,3.15,3.13,1.79,,,,,,2.5,,,,,3.25,,,,,,,,,,,,,,,2.75,2.45,,,,,3.5,,,,,2.5,3.55,,,,
Macarrones (espaguetti) Cal 3- 5 *,454 Gramos,0.59,0.59,0.59,0.59,0.59,0.58,0.58,0.58,0.55,0.57,0.57,,0.58,0.58,,0.53,0.59,0.59,0.58,0.59,0.58,0.59,0.59,0.58,0.58,0.56,0.59,0.59,0.59,0.58,0.58,0.58,0.56,0.46,0.5,0.55,0.55,0.59,0.58,0.57,0.57,0.59,0.58,0.58,0.55,0.55,0.56,0.59,0.58,0.59,,,,0.59,0.59,,,,0.59,,0.59,0.59,0.59,0.59,0.59,0.59,0.59,0.59,0.59,,0.59,0.59,0.59,0.59,0.59,0.59,0.59,0.59,0.59,0.59,0.59,0.59,0.59,0.59,0.59,0.59,0.59,0.59,0.59,,
Pan de Michita *,1 Kilogramos,,,,,,2.45,,,,,,,,,,,,,,,2.45,,,,,,,,2.15,,,3.02,,2.24,,,,,,3.95,,2.69,,,,,2.25,2.69,2.45,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.7,,,,,,,,,,,,
Pan Molde *,500 Gramos,0.92,0.92,0.92,0.92,0.92,0.92,0.92,0.92,0.9,0.91,0.92,0.92,,0.92,0.89,0.9,,0.92,,0.92,,0.92,0.92,,0.92,0.89,0.91,0.92,0.92,0.92,0.92,,0.9,0.87,0.87,0.91,0.91,0.92,0.92,0.91,0.91,0.92,,,0.89,0.89,0.89,0.92,,,,,0.92,,,,,,,,,,,,0.92,,,,,,,,,0.92,0.92,0.92,0.92,0.92,0.95,0.92,,0.92,0.92,,,0.92,0.92,,0.92,,
Tortilla de Maíz *,10 Unidades,1.1,1.09,1.45,1.45,0.99,0.99,0.99,0.99,1.08,1.1,1.25,1.05,0.99,0.99,1,0.97,0.99,0.99,0.99,0.99,0.99,1.1,,0.99,0.99,0.87,1.1,1.09,1.05,0.99,1.05,0.99,1,0.97,1,1.1,1.05,0.99,0.99,1.1,1.15,1.09,0.99,1.15,0.96,,0.99,0.99,0.99,,1.15,,1.25,1,1,1,1,1,1,1,1,1.15,1,1,1,1,,1,1,1.15,1.25,1,1,1.1,1,1,1,0.89,0.99,0.95,1,1,0.85,1,1.1,1,1,1,0.85,,
Ají Dulce y/o picoloro *,1 Kilogramos,3.2,,,3.8,2.32,2.2,2.2,2.2,2.18,2.49,2.49,2.2,2.2,2.2,2.18,2.18,1.76,2.2,2.2,2.42,2.2,2,2.42,2.4,2.2,2.27,2.49,2.42,2.42,2.2,2.2,2.2,2.18,2.18,2.32,2.49,2.49,2.42,2.2,2.49,2.49,2.42,2.2,3.2,2.18,2.18,2.75,2.42,2.2,2.76,3.31,,,,,,3.31,2.2,3.31,,3.31,,,2.76,3.31,2.54,,,,,,1.65,2.76,2.2,,,2.76,2.62,2.62,2.2,3.31,2.76,2.2,,2.76,3.86,,2.76,3.31,,
Ajo *,1 Kilogramos,2.69,4.37,3.3,3.3,4.37,2.3,2.19,2.19,2.16,2.18,2.95,2.19,2.19,2.19,2.17,2.17,4.37,2.19,2.19,4.25,2.19,2.67,4.33,2.3,2.19,,2.95,4.25,4.37,2.19,2.19,2.19,2.17,2.16,2.5,2.95,,4.25,,2.95,2.95,4.35,2.19,2.19,2.16,2.16,,,2.19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.09,,,,,,,,,,,,
Cebolla Amarilla *,1 Kilogramos,1.76,1.75,1.76,1.76,,1.76,1.76,1.76,1.63,1.76,1.76,1.76,1.76,1.76,1.72,1.63,1.76,1.76,1.76,,1.76,1.76,,1.76,1.76,1.51,1.52,,1.75,1.76,1.76,1.76,1.72,1.5,1.49,1.76,1.76,1.76,1.76,1.76,1.76,,1.76,1.76,1.68,1.73,1.76,1.75,1.76,1.76,1.76,1.76,1.76,1.73,1.76,1.76,1.76,1.76,1.76,1.76,1.76,1.76,1.76,1.76,1.76,1.76,,1.76,1.76,1.76,1.76,1.76,1.76,1.76,1.76,1.76,1.76,1.72,1.72,1.65,1.76,1.76,1.76,,1.76,1.76,1.76,1.76,1.76,,
Lechuga *,1 Kilogramos,2.35,3.35,4.45,4.45,3.35,2.5,2.99,2.99,2.73,,2.35,2.99,2.99,2.99,,,,2.99,,3.35,2.6,,,2.99,2.99,2.85,2.85,,3.35,2.99,2.49,2.99,2.97,2.46,2.82,2.85,2.85,3.35,2.6,2.85,2.85,3.35,2.99,2.99,2.86,,2.48,3.35,2.99,3.31,4.41,4.41,4.3,3.31,,,2.76,,3.86,3.31,4.41,3.31,3.86,3.31,3.31,2.76,,,,,3.31,,3.31,2.76,3.31,3.31,2.76,2.75,2.75,2.76,3.31,,2.2,,,5.51,3.31,2.76,3.86,,
Ñame Diamante *,1 Kilogramos,,0.88,0.88,0.88,,0.78,0.78,0.78,0.81,,,,0.78,0.78,0.76,0.81,0.88,0.78,,0.88,,,0.88,,,,,,,,,,0.82,,0.76,,,0.88,0.78,0.88,,0.88,,,,0.76,,0.88,,,,,,,,,,,,,0.88,,0.88,0.88,0.88,0.88,,,,,,0.88,,0.88,,,,0.86,0.86,0.88,0.77,,,,,,,0.77,0.88,,
