,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,relleno,relleno
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,CASA DE LA CARNE CANGREJO,REY DE VIA ESPA•A,RIBA SMITH BELLA VISTA,RIBA SMITH TRANSISTMICA,REY EL DORADO,SUPER 99 CAMINO REAL,SUPER 99 EL DORADO,SUPER 99 TUMBA MUERTO,XTRA TUMBA MUERTO,EL MACHETAZO COSTA SUR,EL MACHETAZO METRO MALL,SUPER 99 LOS PUEBLOS,SUPER 99 PEDREGAL,SUPER 99 PLAZA TOCUMEN,XTRA LAS ACACIAS,XTRA LOS PUEBLOS,REY CHANIS,SUPER 99 CHANIS,SUPER 99 PORTOBELO,REY 12 DE OCTUBRE,SUPER 99 VISTA HERMOSA,CASA DE LA CARNE VIA PORRAS,REY CALLE 50,SUPER 99 SAN FRANCISCO,SUPER 99 V÷A PORRAS,EL FUERTE SAN MIGUELITO,EL MACHETAZO SAN MIGUELITO,REY BRISAS DEL GOLF,REY VILLA LUCRE,SUPER 99 BRISAS DEL GOLF,SUPER 99 LOS ANDES,SUPER 99 VILLA LUCRE,XTRA MARKET  VILLA LUCRE,XTRA OJO DE AGUA,XTRA PAN DE AZÈCAR,EL MACHETAZO CALIDONIA,EL MACHETAZO SANTA ANA,REY BOMBERO SANTA ANA,SUPER 99 LA CUCHILLA CALIDONIA,EL MACHETAZO NVO. TOCUMEN,EL MACHETAZO PUNTA DEL ESTE,REY LAS AMERICAS,SUPER 99 24 DE DICIEMBRE,SUPER 99 MA•ANITAS,XTRA  24 DICIEMBRE,XTRA PACORA,EL FUERTE VILLA ZAITA,REY MILLA 8,SUPER 99 LA CABIMA,MINISUPER EL VETERANO,MINISUPER CD,ABA EL CANGREJO/BELLA VISTA,FRUTER÷A  MIMI,ABT. JUAN CARLOS - BETHANIA,MINISUPER - JANET - BETHANIA,ABT. ELENA - BETHANIA,MINISUPER - ESTELA - BETHANIA,MINISUPER - EL PROGRESO - PARQ LEFEVRE,MINISUPER - EL CHEVERE - PAR. LEFEVRE,ABT. PANAMµ VIEJO - PAR. LEFEVRE,MINI SUPER MAGIC PAN,ABARROTERIA LOS AMIGOS,MINISUPER PUEBLO NUEVO,MINISUPER ROSITA,MINISUPER CHONSITO - PUEBLO NUEVO,MINISUPER FUENTE DE ORO - SAN FCO,MINISUPER ECLIPSE-SAN FCO.,MINISUPER LAM-SAN FRANCISCO,M/S DALLYS - BOCA LA CAJA,MINISUPER FLORECIENTE,ABT. DENIA-SAN MIGUELITO,MINISUPER - JIMMY LIAO,M/S MAFUENT,MINISUPER - EXCELENTE -JUAN D÷AZ,MINISUPER - JUAN D÷AZ,MINISUPER JULY ZHANG- JUAN D÷AZ,M/S SUSANA LUO JUAN DIAZ,ABT - LA PAGODA,ABT. LA PAGODA NO. 2,M/S MULTI CARNES,M/S CABALLEROS LOO,MINISUPER PLAZA AMADOR,ABT EDITH- SANTA ANA,MINISUPER EXPRESO-CALIDONIA,MINISUPER ROY-CALIDONIA,MINISUPER EL MILENIO,M/S VILLA ZAITA,M/S OCêANO,ABARROTER÷A BERAKA,,
Babilla (Carne de res de Primera) *,1 Kilogramos,,6.55,6.55,6.55,6.55,,,,4.75,,5.95,,6.55,,,5.9,6.55,,,6.55,,,6.55,6.55,,,6.49,6.55,6.55,6.55,,,6.21,6.28,5.3,6.55,6.49,,6.55,5.98,5.95,6.55,6.55,,5.7,5.9,,6.55,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.31,6.31,6.55,,,,,,,,,,,
Bistec de Cinta *,1 Kilogramos,,5.62,5.62,5.62,5.62,,,,4.55,5.62,5.66,5.62,5.62,5.62,4.93,,,5.62,,5.25,5.05,5.62,5.62,5.62,5.4,5.59,5.62,5.62,5.62,5.62,5.62,,,4.91,4.93,5.62,5.62,,5.62,5.62,5.62,5.62,5.62,,5.03,5.03,,5.25,,,,,,5.62,,,,,,,,,5.4,,,,,,,,,,,5.4,5.4,4.74,,5.4,5.4,5.62,5.62,,5.62,,,5.4,,,,,
Carne Molida de Primera *,1 Kilogramos,,4.74,4.74,4.74,,4.74,4.74,4.74,,,,4.74,4.74,4.74,4.13,4.13,,4.74,4.74,,4.74,,4.74,4.74,4.74,,,,4.74,4.74,4.74,4.74,4.72,4.65,,,4.74,,4.74,4.74,,,4.74,4.74,,4.15,4.69,4.74,4.74,,,,,,,,,,,,,,,,,,,,,,4.85,,,,4.41,4.41,,4.74,4.73,4.74,,,,4.74,,4.74,,,,,
Carne para Sopa (Costilla) *,1 Kilogramos,4.7,,,,,,,,4.22,,,4.45,4.45,4.45,3.91,,,,,,4.45,,,,,4.73,,,,,,4.45,,4.45,,4.95,4.95,,4.45,4.75,5.95,,,4.45,,4.43,4.46,,4.45,,,,,,,,,,,,,,,,,,,,,,,,,,3.86,,,,4.38,,,,3.31,,,,,,4.96,,
Puerco Liso *,1 Kilogramos,6.39,5.35,13.48,11.27,5.35,6.35,,6.35,4.91,5.75,5.35,6.35,6.35,6.35,6.33,4.95,,6.35,,,6.35,7.79,5.35,,6.35,5.13,5.59,,5.35,6.35,,,5.58,,4.9,5.95,5.29,,,5.65,5.65,,,,6.33,6.33,4.99,,,,,,,7.72,8.27,,7.17,,7.72,,,,7.72,,7.17,6.61,,,,6.61,7.72,7.72,,5.51,6.06,,,4.95,4.95,5.62,,,8.71,6.06,,,7.17,,7.39,,
Pulpa Negra *,1 Kilogramos,7.6,8.15,14.99,13.18,8.29,,,7.69,6.45,7.75,7.95,7.69,7.69,,7.69,7.64,8.29,7.69,7.69,8.15,7.69,7.6,8.29,7.69,,7.69,7.75,8.15,8.15,7.69,7.69,7.69,7.66,6.93,6.59,7.85,7.75,,7.69,7.66,7.75,8.15,7.69,7.69,5.38,7.6,6.98,8.15,7.69,,,,,8.49,8.82,,8.82,,8.81,,7.72,,8.82,8.38,8.82,8.27,,7.72,,8.16,7.72,,,8.27,8.38,,,7.77,6.93,8.26,8.27,8.82,8.38,8.49,,8.27,8.71,,,,
Muslo de Pollo con Piel *,1 Kilogramos,3.96,,4.49,4.49,,3.75,3.2,3.75,2.8,,3.39,3.2,3.75,3.2,3.18,3.37,3.63,3.75,3.75,3.63,3.75,4.41,3.63,3.75,3.4,3.33,3.59,3.63,,3.75,3.2,3.75,3.59,,3.16,2.97,2.97,3.63,,3.49,3.59,3.63,3.75,3.75,3.47,3.47,3.25,3.63,3.75,,,,,3.86,,,3.86,,3.86,,,,,,3.31,,,,,,,,,3.31,3.64,,,,3.06,4.19,4.08,3.09,,3.09,,4.41,3.42,,,,
Pechuga de Pollo con Piel *,1 Kilogramos,5.36,,4.25,4.25,3.3,3.6,3.6,3.6,2.42,3.39,3.29,3.4,3.6,3.6,,3.28,3.3,3.6,3.6,3.3,3.6,3.96,3.3,3.6,3.6,3.23,3.39,3.3,3.3,3.6,3.6,3.6,3.04,3.1,2.58,3.06,3.06,3.3,3.6,3.29,3.29,3.3,3.6,3.6,3.27,3.27,3.18,3.3,3.6,,,,4.54,3.86,3.86,,,,3.86,,,,,,3.31,,,,,4.08,3.31,,,,3.64,,,2.97,3.06,4.19,3.86,3.31,3.31,,,3.64,3.64,,3.31,,
Pollo Entero s/plumas *,1 Kilogramos,2.64,2.3,2.73,2.73,2.2,2.6,2.6,2.6,2.15,2.19,2.15,2.6,2.6,2.6,2.1,2.1,2.2,2.6,2.6,2.2,2.6,2.49,2.2,2.6,,2.18,2.19,2.2,2.2,2.6,2.6,2.6,2.15,2.08,2.14,2.25,2.25,2.2,2.6,2.15,2.1,2.2,2.6,2.6,2.05,2.05,2.19,2.2,2.6,,,,,2.6,2.6,,2.6,,2.54,2.43,2.6,,2.6,2.46,2.19,2.6,,2.6,,2.6,2.2,2.6,2.6,2.31,2.05,2.6,,1.98,2.09,2.6,2.6,2.6,2.2,2.31,,2.2,2.31,2.2,,,
Pescado Corvina *,1 Kilogramos,,,8.85,8.85,,8.39,,,7.45,5.56,,8.39,,8.39,5.51,5,,8.39,,,,,,8.39,8.39,,,,,8.39,8.39,8.39,7.52,4.98,4.95,,,,,,5.56,,8.39,,5,5.51,5.75,,8.25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sardina en Salsa de Tomate sin Picante *,155 Gramos,0.68,0.59,0.73,0.73,0.59,0.4,0.4,0.4,0.39,0.69,0.65,0.41,0.42,0.42,0.39,0.39,0.69,0.4,0.4,0.59,0.4,0.65,0.69,0.4,0.4,0.39,0.65,0.59,0.59,0.4,0.41,0.4,0.41,0.5,0.5,0.41,0.65,0.65,0.4,0.65,0.69,0.59,0.4,0.4,0.4,0.4,0.45,0.69,0.41,0.85,0.85,0.8,0.95,0.75,0.6,0.75,0.75,0.78,0.85,0.85,0.5,0.75,0.75,0.5,,0.75,0.75,0.85,0.8,0.55,0.5,0.75,0.75,0.8,0.85,,0.85,0.45,0.45,0.55,0.6,,0.75,0.5,0.75,0.6,0.55,0.55,0.55,,
Tuna en Agua *,142 Gramos,1.56,1.75,1.69,1.69,,1.15,1.25,1.15,1.13,,,1.15,1.15,1.15,0.98,1.08,,1.15,1.25,1.75,1.15,1.37,,1.25,1.15,1.55,1.59,1.75,1.75,1.15,1.15,1.15,1.13,1.24,1.14,,1.19,1.69,1.15,,1.09,,1.25,1.2,1.07,1.23,1.55,1.75,1.15,1.75,1.75,,1.65,1.65,1.5,,1.75,,,,,1.62,,,,,,,,,,,,,1.75,,1.65,1.15,1.12,1.55,1.25,,,1.65,,1.75,1.65,,,,
Jam¢n Cocido Empacado 4x4 *,1 Kilogramos,7.3,7.83,,,7.83,7.47,7.47,7.47,7.43,7.5,7.5,7.83,5.49,7.47,7.43,7.43,7.83,7.47,7.47,7.83,7.47,7.3,7.83,7.47,7.47,7.32,,7.83,7.83,7.47,5.49,5.49,7.43,7.45,7.28,7.5,7.5,7.83,5.49,7.5,,,7.47,,,7.43,7.32,7.83,7.47,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mortadela Nacional con Pimienta (empacado) *,1 Kilogramos,,8.58,8.38,8.38,,8.36,8.36,8.36,8.33,,8.38,,4.96,4.96,5.38,,8.58,8.36,8.36,8.58,,,8.58,8.36,,4.87,8.38,8.58,8.58,8.36,4.96,4.96,8.31,8.33,8.31,,,,4.96,,,,,,,5.38,8.09,8.58,8.36,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Salchichas Nac Empacadas tipo frankfurter *,1 Kilogramos,4.54,3.42,7.5,7.65,3.42,3.42,4.63,3.42,3.42,3.42,3.42,3.42,4.1,3.42,3.37,3.42,3.42,4.63,3.42,4.83,4.63,4.48,3.42,3.42,4.63,3.42,3.42,3.42,3.42,3.42,4.63,3.42,4.59,3.4,3.37,4.74,3.42,3.42,3.42,3.42,3.42,3.42,,3.42,3.4,3.4,3.42,3.42,3.42,,,,,,,,8.6,4.74,,,,,,4.96,7.03,,,,,,,4.74,,,,,,3.42,3.42,,,,,,,,,5.84,4.63,,
Arroz de Primera *,1 Kilogramos,0.88,0.87,0.88,0.88,0.87,0.88,0.88,0.88,0.75,0.88,0.88,0.88,0.88,0.88,0.79,0.79,0.87,0.88,0.88,0.87,0.88,0.88,0.87,0.88,0.88,0.88,0.88,0.87,0.87,0.88,0.88,0.88,0.77,0.79,0.79,0.88,0.88,0.87,0.88,0.84,0.84,0.87,0.88,0.88,0.77,0.77,0.88,0.87,0.88,,,,0.88,0.88,0.88,0.88,0.88,,,0.88,0.88,,0.88,0.88,0.88,0.88,0.88,0.88,,,0.88,0.88,0.88,0.88,0.88,0.88,,0.88,0.88,0.88,0.88,0.88,0.88,0.88,0.88,0.88,0.88,0.88,0.88,,
Codito *,454 Gramos,0.89,0.85,0.93,0.88,0.85,0.76,0.76,0.76,0.51,0.83,0.87,0.76,0.76,0.76,0.58,0.58,0.95,0.76,0.76,0.85,0.76,0.82,0.85,0.76,0.76,0.77,0.75,0.85,0.99,0.76,0.76,0.76,0.75,0.53,0.54,0.83,0.79,0.85,0.76,0.85,0.85,0.85,0.95,0.76,0.65,0.65,0.78,0.89,0.76,1,1,1,0.95,1,0.9,0.9,0.9,0.98,0.85,0.85,1,1,0.85,1,0.9,0.85,0.85,0.85,0.85,0.9,0.9,1,,0.85,0.95,1,0.9,0.85,0.75,0.45,0.95,1,0.9,0.8,0.95,0.85,0.9,0.8,0.85,,
Crema  de Ma°z *,300 Gramos,,0.79,0.62,0.62,0.65,0.6,0.6,0.65,0.64,0.69,0.6,0.6,0.69,0.6,0.54,0.61,0.65,0.7,0.65,0.65,0.6,0.88,0.65,0.65,0.6,0.6,0.6,0.79,0.65,0.6,0.6,0.6,0.63,0.59,0.69,0.6,0.6,0.79,0.6,0.6,,0.65,0.7,0.55,0.59,0.69,0.6,0.65,0.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.7,0.65,,,,,,,,,,,,
Hojuelas de Ma°z (corn flakes) cajeta *,300 Gramos,3.6,3.65,2.95,2.95,3.65,1.89,1.89,1.89,2.18,2.65,2.75,2.7,2.1,1.89,2.63,2.18,2.15,1.89,1.89,2.15,2.7,2.13,2.15,1.75,1.89,2.95,1.97,3.65,2.15,1.89,2.1,2.7,2.52,2.18,2.18,2.65,1.97,3.65,2.7,2.65,2.65,3.65,2.7,,1.48,2.17,2.65,,2.7,,3.75,,3.45,,,,2.75,3.15,,2.35,,,,,2.75,,,,,,,3.45,,,2.75,2.45,2.35,2.79,2.99,3,,,,,,2.5,2.75,2.35,3.25,,
Macarrones (espaguetti) Cal 3- 5 *,454 Gramos,0.59,0.59,0.59,0.59,0.59,0.58,,0.58,0.48,0.49,0.49,0.54,0.58,0.54,0.44,0.44,0.59,0.58,0.58,0.59,0.58,0.59,0.59,0.58,0.58,0.56,0.49,0.59,0.59,0.54,0.58,0.54,0.51,0.5,0.47,0.49,0.49,0.59,0.58,0.49,0.49,0.59,0.59,0.58,0.38,0.38,0.56,0.59,0.58,0.59,,0.59,,0.59,,0.59,0.59,,0.59,0.59,,0.59,0.59,0.59,0.59,0.59,0.59,0.59,0.59,0.59,0.59,0.59,0.59,0.59,0.59,,0.59,0.59,0.59,0.59,0.59,0.59,0.59,0.59,0.59,0.59,0.59,0.59,0.59,,
Pan de Michita *,1 Kilogramos,,2.69,,,,,,,,,,,,2.45,2.62,,,,,,2.45,,,,,,,2.59,,,2.45,2.45,,,3.3,,,,,,,2.59,,2.45,,3.57,,2.59,2.45,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.5,2.7,,,,,,,,,,,,
Pan Molde *,500 Gramos,,0.92,0.92,0.92,0.92,,0.92,0.92,0.76,0.92,0.82,,,0.92,0.74,0.74,,,,0.92,0.92,0.92,0.92,0.92,0.92,0.92,0.78,0.92,0.92,0.92,0.92,0.92,,0.83,0.82,0.78,0.78,0.92,,0.92,0.92,0.92,,,0.8,0.8,0.92,0.92,,,,,0.92,,,,,0.92,,0.92,0.92,,,,,,,,,,0.92,,,0.92,0.92,0.92,,0.92,0.92,0.92,0.92,0.92,0.92,,,0.92,0.92,0.92,,,
Tortilla de Ma°z *,10 Unidades,1.1,0.99,1.44,1.44,0.99,1.15,1.15,1.15,0.98,1.1,1.1,1.15,1.15,1.05,0.9,0.98,0.99,1.15,1.15,1,1.15,1.1,0.99,1.15,1.15,1.13,1.1,0.99,1,1.15,1.15,1.05,0.96,0.98,0.96,1.1,0.98,0.99,1.15,1.1,1.1,0.99,1.15,1.15,0.97,0.98,0.97,0.99,1.15,,1.15,,1.25,1,1,1,1,1.25,1,1,1.1,,1,1,1,1,,1,1,1.25,1,1,1.1,1.1,1,1,1,0.95,0.95,0.95,1,1,0.95,1,1.25,1,1,1,1.1,,
Aj° Dulce y/o picoloro *,1 Kilogramos,3.4,2.76,3.32,3.32,2.76,2.2,2.2,2.2,2.15,2.35,2.35,2.2,2.2,2.2,2.31,2.33,2.76,2.2,1.98,3.5,2.2,2.35,2.76,2.2,2.2,2.19,2.7,2.76,2.76,2.2,2.2,2.2,2.18,2.15,2.17,2.35,2.35,2.76,3.85,2.35,2.65,2.76,2.2,2.2,2.33,2.33,2.75,2.76,,,3.31,3.31,3.42,2.76,3.31,,,,3.31,,2.76,,3.31,3.31,,,,2.2,,2.65,1.65,,,,3.31,,3.31,2.99,2.31,2.2,,3.31,2.2,,3.2,2.76,,,3.31,,
Ajo *,1 Kilogramos,2.87,,3.3,3.3,4.25,,2.19,2.19,2.18,2.18,2.18,2.19,2.19,2.19,,2.16,4.25,2.19,2.19,4.25,2.19,,4.25,2.19,2.19,,2.18,4.24,2.55,2.19,2.19,2.19,2.17,2.05,2.17,,2.16,4.25,2.19,2.18,2.18,4.25,2.19,2.19,2.19,2.12,,4.25,2.19,,,4.41,,,,,,,,,,,,,,,,2.76,,,,,,,,,,2.76,,,3.31,,,,,,,,,,
Cebolla Amarilla *,1 Kilogramos,1.76,1.76,1.76,1.76,1.76,1.76,1.76,1.76,1.24,1.59,1.59,1.76,1.76,1.76,1.49,1.66,1.76,1.76,1.76,1.76,1.76,1.76,1.76,1.76,1.76,1.54,1.59,1.76,1.76,1.76,1.76,,1.74,1.75,1.56,1.59,1.59,1.76,1.76,1.76,1.59,1.76,1.76,1.76,1.33,1.33,1.69,1.76,1.76,1.76,1.76,1.76,1.76,1.76,1.76,1.76,1.76,1.76,1.76,1.76,1.76,1.76,1.76,1.76,1.76,1.76,,1.76,1.76,1.76,1.32,1.76,1.76,1.54,1.76,1.76,1.76,1.65,1.3,1.76,1.76,1.76,1.75,,1.76,1.76,1.76,1.65,1.76,,
Lechuga *,1 Kilogramos,3.52,3.79,4.45,4.45,3.5,,2.99,2.99,2.13,2.5,2.5,3.04,2.18,2.99,3.02,2.93,3.35,2.99,2.99,3.35,2.18,,3.35,2.99,,2.52,2.5,3.79,3.79,,2.99,2.18,3.87,2.13,2.13,2.5,2.5,3.32,2.3,2.5,2.5,3.35,2.99,2.18,2.48,2.16,2.5,3.35,3.04,2.98,3.31,3.31,3.2,3.31,3.31,,2.76,2.2,3.31,3.31,3.31,,3.31,,3.31,2.76,,,,3.31,2.2,3.86,,2.76,2.76,3.31,3.31,2.4,1.96,2.76,3.31,3.31,1.98,,,,3.86,2.2,3.86,,
