,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,relleno,relleno
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Producto,Medida,CASA DE LA CARNE CANGREJO,REY DE VIA ESPAÑA,RIBA SMITH BELLA VISTA,RIBA SMITH TRANSISTMICA,REY EL DORADO,SUPER 99 CAMINO REAL,SUPER 99 EL DORADO,SUPER 99 TUMBA MUERTO,XTRA TUMBA MUERTO,EL MACHETAZO COSTA SUR,EL MACHETAZO METRO MALL,SUPER 99 LOS PUEBLOS,SUPER 99 PEDREGAL,SUPER 99 PLAZA TOCUMEN,XTRA LAS ACACIAS,XTRA LOS PUEBLOS,REY CHANIS,SUPER 99 CHANIS,SUPER 99 PORTOBELO,REY 12 DE OCTUBRE,SUPER 99 VISTA HERMOSA,CASA DE LA CARNE VIA PORRAS,REY CALLE 50,SUPER 99 SAN FRANCISCO,SUPER 99 VÍA PORRAS,EL FUERTE SAN MIGUELITO,EL MACHETAZO SAN MIGUELITO,REY BRISAS DEL GOLF,REY VILLA LUCRE,SUPER 99 BRISAS DEL GOLF,SUPER 99 LOS ANDES,SUPER 99 VILLA LUCRE,XTRA MARKET  VILLA LUCRE,XTRA OJO DE AGUA,XTRA PAN DE AZÚCAR,EL MACHETAZO CALIDONIA,EL MACHETAZO SANTA ANA,REY BOMBERO SANTA ANA,SUPER 99 LA CUCHILLA CALIDONIA,EL MACHETAZO NVO. TOCUMEN,EL MACHETAZO PUNTA DEL ESTE,REY LAS AMERICAS,SUPER 99 24 DE DICIEMBRE,SUPER 99 MAÑANITAS,XTRA  24 DICIEMBRE,XTRA PACORA,EL FUERTE VILLA ZAITA,REY MILLA 8,SUPER 99 LA CABIMA,MINISUPER EL VETERANO,MINISUPER CD,ABA EL CANGREJO/BELLA VISTA,FRUTERÍA  MIMI,ABT. JUAN CARLOS - BETHANIA,MINISUPER - JANET - BETHANIA,ABT. ELENA - BETHANIA,MINISUPER - ESTELA - BETHANIA,MINISUPER - EL PROGRESO - PARQ LEFEVRE,MINISUPER - EL CHEVERE - PAR. LEFEVRE,ABT. PANAMÁ VIEJO - PAR. LEFEVRE,MINI SUPER MAGIC PAN,ABARROTERIA LOS AMIGOS,MINISUPER PUEBLO NUEVO,MINISUPER ROSITA,MINISUPER CHONSITO - PUEBLO NUEVO,MINISUPER FUENTE DE ORO - SAN FCO,MINISUPER ECLIPSE-SAN FCO.,MINISUPER LAM-SAN FRANCISCO,M/S DALLYS - BOCA LA CAJA,ABT. LEÓN-SAN MIGUELITO,MINISUPER FLORECIENTE,ABT. DENIA-SAN MIGUELITO,MINISUPER - JIMMY LIAO,MINISUPER - EXCELENTE -JUAN DÍAZ,MINISUPER - JUAN DÍAZ,MINISUPER JULY ZHANG- JUAN DÍAZ,M/S SUSANA LUO JUAN DIAZ,ABT - LA PAGODA,ABT. LA PAGODA NO. 2,M/S MULTI CARNES,M/S CABALLEROS LOO,MINISUPER PLAZA AMADOR,ABT EDITH- SANTA ANA,MINISUPER EXPRESO-CALIDONIA,MINISUPER ROY-CALIDONIA,MINISUPER EL MILENIO,M/S VILLA ZAITA,M/S OCÉANO,ABARROTERÍA BERAKA,,
Babilla (Carne de res de Primera) *,1 Kilogramos,,6.55,6.55,,6.55,,,,6.53,6.55,6.45,,,,,6.43,6.55,,,,6.55,,6.55,,,6.12,,6.55,,6.55,6.55,,6.53,6.27,,6.55,6.49,,6.55,6.49,6.49,6.55,6.55,6.55,6.47,6.47,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.31,6.31,6.55,,,,,,,,,,,
Bistec de Cinta *,1 Kilogramos,5.62,5.07,5.62,5.62,5.07,5.62,,5.62,5.6,5.45,5.59,5.62,,5.62,4.94,5.06,,,,5.07,,5.62,5.07,5.62,5.62,5.35,5.39,5.07,5.07,,5.62,,5.06,5.05,,,5.25,,,5.62,5.62,5.07,,5.62,5.06,5.06,,5.07,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.4,5.17,,,,5.62,,,,,,,,
Carne Molida de Primera *,1 Kilogramos,4.74,4.45,4.74,4.74,4.45,4.74,4.74,4.74,,4.74,,4.74,,4.74,4.13,4.13,,4.74,4.74,,4.74,,,4.74,4.74,4.58,,,,4.74,4.74,4.74,,4.43,,,,4.45,,,4.74,,4.74,4.74,,,4.69,4.45,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.29,4.6,,,,,,,,,,,,
Carne para Sopa (Costilla) *,1 Kilogramos,4.7,,5.85,5.85,,,4.45,,,,,4.45,,4.45,,4.87,,,,,,,,,,4.7,,,,,,4.45,4.43,4.42,,,,,,,,,,,,,4.95,,4.45,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.5,,,,,
Puerco Liso *,1 Kilogramos,7.8,,13.48,13.48,,6.35,,,,,,,,,,,,,,,,,,6.35,6.35,5.43,5.49,,,,,,6.15,,5.41,5.98,5.35,,,,5.49,5.49,,6.35,6.15,,5.99,,,,,,,7.72,,,7.17,,,,7.17,,7.17,,6.06,6.61,,6.61,,7.5,7.17,7.17,,6.61,6.06,,,,5.48,5.62,,,,,,6.61,7.17,,,,
Pulpa Negra *,1 Kilogramos,8.89,6.89,13.18,13.18,6.69,7.69,7.69,7.69,7.66,7.75,,7.69,7.69,7.69,7.66,,6.69,7.59,7.69,,,8.89,6.69,7.69,7.69,7.65,7.85,6.45,6.89,7.69,7.69,7.69,,6.87,,7.85,7.75,,7.69,7.75,7.75,6.89,7.69,7.69,7.66,7.66,7.65,6.89,7.69,,,,,8.49,8.82,,8.82,,8.82,,8.27,,,8.38,7.72,8.27,,,,8.38,8.16,7.72,8.71,8.27,,,,7.15,7.02,,,8.6,8.49,8.49,,8.27,8.71,,,,
Muslo de Pollo con Piel *,1 Kilogramos,3.83,,4.49,4.49,3.99,3.59,3.59,,,3.95,,3.59,,3.59,3.57,3.57,3.99,3.55,3.59,3.98,,3.83,3.99,3.59,3.59,3.57,3.59,3.99,3.99,3.59,3.59,3.59,3.57,,,3.59,3.75,3.99,3.59,,,3.99,3.59,,,3.57,3.57,3.99,3.59,,,,,3.86,4.08,,4.08,,4.41,,,,,,,,,,,,,,4.08,,,,,3.28,3.28,4.19,,3.86,,,,4.41,,,,,
Pechuga de Pollo con Piel *,1 Kilogramos,5.72,,4.25,4.25,3.3,3.59,3.59,3.59,,3.35,3.39,3.59,,3.59,3.37,,3.08,3.49,3.59,3.08,3.59,3.96,3.08,3.59,3.59,3.1,3.19,3.08,3.08,3.59,3.59,3.59,3.08,2.96,3.08,3.55,3.29,3.08,3.59,3.39,3.29,3.08,2.89,3.59,3.08,3.08,2.99,3.08,,,,,,3.86,3.86,,,,3.86,3.69,,,,,,,,3.31,,,4.08,,4.08,,,,,2.71,2.7,3.31,3.86,3.31,3.42,3.09,,3.64,3.64,,,,
Pollo Entero s/plumas *,1 Kilogramos,2.93,2.45,2.73,2.73,2.1,2.49,2.49,2.49,2.07,2.29,2.29,2.49,2.49,2.49,1.88,2.08,2.18,2.49,2.49,2.1,2.49,2.62,2.1,2.49,2.49,2.18,2.19,2.1,2.1,2.49,2.35,2.49,2.08,,2.16,2.35,2.25,2.1,2.49,2.19,2.19,2.1,2.49,2.25,2.08,2.08,2.18,2.45,2.49,,,,,2.6,2.6,,2.6,,2.2,2.6,2.2,,2.43,2.6,2.6,2.6,,2.6,,2.14,,,2.6,2.2,2.05,2.18,2.6,1.96,1.89,1.98,,2.2,2.18,2.2,,2.09,2.2,2.09,,,
Pescado Corvina *,1 Kilogramos,,,9.55,9.55,,,,8.39,8.35,6.75,6.75,8.39,,,,5.51,,,,,,,,8.39,,5.99,,,,,,,5.49,5.73,5.97,7.75,,,,6.75,,,,,6.73,6.73,5.99,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sardina en Salsa de Tomate sin Picante *,155 Gramos,0.68,0.69,0.77,0.77,0.59,0.41,0.69,0.65,0.39,0.65,0.69,0.41,0.65,,0.39,0.39,0.69,0.65,0.65,0.69,0.4,0.65,0.69,0.42,0.42,0.38,0.65,0.59,0.45,0.65,0.76,0.4,0.43,0.39,0.36,0.65,0.65,0.65,0.65,0.65,0.65,0.65,0.65,,0.4,0.51,0.39,0.76,0.69,0.85,,,,0.85,0.65,0.75,0.75,0.75,0.65,0.65,0.5,0.7,0.75,0.5,0.8,0.75,0.75,0.85,0.88,0.55,,0.75,0.85,0.8,0.75,0.65,0.65,0.45,0.45,0.55,,0.8,0.85,0.5,,0.6,0.8,0.85,0.75,,
Tuna en Agua *,142 Gramos,1.56,1.65,1.67,1.7,1.75,1.05,1.05,1.05,1.05,1.57,1.5,1.05,1.05,1.05,,1.23,1.75,1.05,1.05,1.75,1.15,1.52,1.29,1.05,1.05,1.55,1.57,1.75,1.75,1.05,1.05,1.25,1.73,1.22,1.53,1.59,1.55,1.69,1.05,1.57,,,,,1.06,1.06,1.55,1.65,1.05,,,,,,1.5,,,1.78,1.6,1.55,1.5,1.65,1.65,1.55,,,,,,1.65,,1.75,,1.65,,,,1.15,1.12,,,,,1.65,,1.75,,1.65,,,
Jamón Cocido Empacado 4x4 *,1 Kilogramos,7.3,6.5,,,7.83,5.49,5.49,5.49,7.34,7.5,7.5,7.47,7.47,7.47,7.45,7.45,7.83,7.47,7.47,7.39,7.34,,7.83,,7.47,5.34,7.5,7.83,6.5,7.47,7.47,7.47,7.43,7.28,7.39,7.5,7.5,7.83,5.49,,7.5,7.39,,9.58,,,7.32,7.83,5.49,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mortadela Nacional con Pimienta (empacado) *,1 Kilogramos,,,8.4,8.4,5.71,8.36,4.96,4.96,8.31,,,,,8.36,,,,4.96,4.96,,,,,4.96,,4.87,8.38,,8.58,8.36,8.36,4.96,8.31,8.07,8.05,,,,4.96,,,,,7.83,,,8.09,8.58,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Salchichas Nac Empacadas tipo frankfurter *,1 Kilogramos,4.54,,7.67,7.67,8.14,4.3,4.3,4.3,3.42,3.42,3.42,3.42,3.42,3.42,3.37,3.37,4.83,3.42,,3.42,3.42,4.85,3.42,3.42,3.42,3.42,,3.42,3.42,3.42,4.3,3.42,3.42,3.37,3.42,3.42,3.42,3.42,3.42,3.42,3.42,3.42,,3.42,3.33,,3.42,4.3,4.3,,,,,,,,,,,,,,,,,,,,,,7.39,,,,,,,3.42,3.42,,,,,4.74,4.96,,,,,,
Arroz de Primera *,1 Kilogramos,0.88,0.87,0.88,0.88,0.87,0.88,0.88,0.88,0.85,,,0.88,0.88,0.88,0.85,0.85,0.87,0.88,0.88,0.87,0.88,0.88,0.87,0.88,0.88,0.88,0.88,0.87,0.87,0.88,0.88,0.88,0.86,0.85,0.87,,0.88,0.87,0.88,0.86,0.88,0.87,0.88,0.88,0.86,0.85,0.88,0.87,0.88,,,,0.88,0.88,0.88,0.88,0.88,,,0.88,0.88,,0.88,0.88,0.88,0.88,0.88,0.88,,0.88,0.88,0.88,0.88,0.88,0.88,0.88,0.88,0.88,0.86,0.88,0.88,0.88,0.88,0.88,0.88,0.88,0.88,0.88,0.88,,
Codito *,454 Gramos,0.9,0.85,0.89,0.89,0.65,0.79,0.79,0.76,0.88,0.75,0.87,0.79,0.79,0.79,0.85,0.85,0.85,0.79,0.79,0.82,0.76,0.87,0.85,0.79,0.79,0.77,0.75,0.85,0.85,0.79,0.79,0.76,0.63,0.71,0.74,0.75,0.75,0.85,0.79,0.75,0.75,0.89,0.79,0.69,0.75,0.73,0.77,0.85,0.76,1,1,1,0.95,1,0.9,0.95,0.85,0.98,0.85,0.85,0.85,,0.85,0.9,0.85,0.85,0.85,0.85,0.85,1,0.9,0.9,0.85,1,0.95,1,0.75,0.85,0.75,0.85,0.95,1,0.9,0.8,0.95,0.85,0.9,,0.85,,
Crema  de Maíz *,300 Gramos,,0.65,0.62,0.62,0.65,0.6,0.6,0.6,0.59,0.7,0.6,0.6,0.6,0.6,0.59,0.61,0.79,0.6,0.6,0.65,0.65,0.88,0.65,0.6,0.6,0.7,0.6,0.65,0.65,0.6,0.6,0.6,0.69,0.58,0.59,0.6,0.6,0.65,,0.6,0.6,0.77,0.65,0.7,0.58,0.69,0.6,,0.6,,,,,,,,,,,,,,,,,,,,,,0.95,,,,,,,0.7,0.75,,,,,,,,,,,,
Hojuelas de Maíz (corn flakes) cajeta *,300 Gramos,3.13,3.65,2.91,3.21,2.19,1.79,1.79,1.99,2.93,2.93,2.93,1.79,1.79,1.79,2.18,2.18,1.7,1.79,2.29,1.95,2.36,2.79,2.1,1.79,1.99,3.15,2.65,2.15,3.65,1.79,1.79,1.79,1.96,2.93,1.87,2.95,2.95,1.95,2.29,2.95,2.49,,2.95,2.95,1.48,,3.15,3.13,1.79,,,,,,2.5,,,,,,,,,2.5,3.25,,,,,,2.5,,,,,2.45,,,,,,,,,,3.25,3.5,2.35,,,
Macarrones (espaguetti) Cal 3- 5 *,454 Gramos,0.59,0.59,0.59,0.59,0.59,0.58,,0.58,0.55,0.57,0.57,0.54,0.58,0.58,0.57,0.57,0.59,0.58,0.59,0.59,0.58,0.59,0.59,0.58,0.58,0.56,0.59,0.59,0.59,0.58,0.58,0.58,0.57,0.5,0.5,0.55,0.55,0.59,0.58,0.55,0.55,0.59,0.58,0.58,0.53,0.53,0.56,0.59,0.58,0.59,,0.59,,0.59,0.59,,0.59,,0.59,,0.59,0.59,0.59,0.59,0.59,0.59,0.59,0.59,0.59,,0.59,0.59,0.59,0.59,0.59,0.59,0.59,0.59,0.59,0.59,0.59,0.59,0.59,0.59,0.59,0.59,0.59,0.59,0.59,,
Pan de Michita *,1 Kilogramos,,2.69,,,2.69,,2.45,,3.58,,,,,,,,,,,,,,,,,,,,2.69,,,3.02,,,3.57,,,,,3.5,,,,,,,,,2.45,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.7,,,,,,,,,,,,
Pan Molde *,500 Gramos,0.92,0.92,0.92,0.92,0.92,0.92,0.92,0.92,0.9,0.91,0.92,0.92,,0.92,0.89,0.89,0.92,0.92,,0.92,0.92,,0.92,0.92,0.92,0.89,0.92,0.92,0.92,0.92,0.92,0.92,0.9,0.87,0.87,0.92,0.91,0.92,0.92,0.91,0.92,0.92,,0.92,0.8,0.8,0.89,0.92,,,,,,,,,,0.92,,,,,,,0.92,0.92,0.92,,,,,,,0.92,0.92,0.92,0.92,0.92,0.92,0.92,0.92,0.92,0.92,,,0.92,,,,,
Tortilla de Maíz *,10 Unidades,1.1,0.99,1.45,1.45,0.85,1.15,1.29,1.15,1,1.1,1.1,1.15,1.15,1.15,0.97,0.98,0.99,1.15,1.15,1.19,1.15,1.1,0.85,1.05,1.05,0.99,1.1,0.99,1,1.15,1.15,1.05,0.98,0.97,0.96,1.1,0.98,0.85,1.15,1.1,1.1,0.99,1.05,1.15,0.9,0.98,0.89,0.85,1.15,,1.15,,1.25,1,1,1.25,1,1.1,1,,1,1.15,1,1,1,1,,1,1,1.15,1.25,1,1.1,1.1,1,1,1,0.95,0.95,0.95,0.95,1,1,1,1,1,1,1,1,,
Ají Dulce y/o picoloro *,1 Kilogramos,3.2,2.42,3.32,3.32,2.42,2.2,2.2,2.2,2.18,2.48,2.4,2.4,2.2,2.2,,2.18,2.32,2.2,2.2,2.42,,2.05,2.42,2.2,2.2,2.32,2.4,2.42,2.42,2.2,2.2,2.2,2.26,2.18,2.26,2.49,2.49,2.42,2.2,2.49,,2.42,,2.2,2.18,2.18,2.75,2.42,,,,,,2.76,,,3.31,3.65,2.76,2.2,2.76,,,2.2,3.31,,,2.2,,,,1.76,2.76,2.76,2.76,,,2.09,1.96,1.87,2.2,2.2,2.2,,2.76,3.86,,,,,
Ajo *,1 Kilogramos,2.6,4.37,3.3,3.3,4.37,2.3,,2.19,2.16,2.18,2.18,,2.19,2.19,2.16,2.16,4.37,2.19,2.19,4.25,2.18,2.67,4.37,2.3,2.3,,2.18,4.75,,2.19,2.18,,2.16,2.16,2.19,2.18,2.18,4.25,2.3,2.18,2.18,,,2.3,2.16,2.16,,4.37,2.19,,,,,,,,,4.41,,,,,,,,,,,,,,,,,,,,,2.09,,,,,,,,,,,,
Cebolla Amarilla *,1 Kilogramos,1.76,,1.76,1.76,1.76,1.76,1.76,1.76,1.63,1.76,1.76,1.76,1.76,1.76,1.73,1.73,1.75,1.76,1.76,,1.76,1.76,1.76,,,1.68,1.76,1.75,1.75,1.76,1.76,1.76,1.74,1.73,1.42,1.76,1.76,1.76,1.76,1.76,1.76,1.75,1.7,1.76,1.68,1.68,1.76,1.75,1.76,1.76,1.76,1.76,1.76,1.76,1.76,1.76,1.76,1.76,1.76,1.76,1.76,1.76,1.76,1.76,1.76,1.76,,1.76,1.76,1.76,1.76,1.76,1.76,1.76,2.76,1.76,1.76,1.65,1.28,1.43,1.76,1.76,1.76,,1.76,1.76,1.76,1.76,1.54,,
Lechuga *,1 Kilogramos,2.35,3.5,4.45,4.45,3.35,2.75,2.99,,2.47,,2.9,,2.99,2.99,2.88,2.88,3.35,,2.99,3.35,2.99,2.35,3.35,2.99,2.99,2.85,2.9,3.79,3.35,2.99,2.49,2.99,2.47,2.47,2.83,,2.9,3.35,3.04,2.9,2.9,3.35,,,2.88,2.87,2.5,3.35,,3.31,4.41,2.76,4.3,3.31,3.31,,2.76,3.31,2.76,3.31,4.41,,3.31,2.76,3.31,2.76,,,2.65,4.41,,2.2,3.31,3.31,,3.31,3.31,2.62,2.09,2.09,2.2,2.2,,,,5.51,3.31,4.41,2.43,,
Ñame Diamante *,1 Kilogramos,,0.88,0.88,0.88,0.88,,0.88,,,,,,,,,,,0.78,,,,,0.88,,,,,0.88,0.88,,,,,,,,,0.88,,,,0.88,,0.78,,,,0.88,,,,,,,,,,,0.88,0.88,0.88,,,0.88,0.88,0.88,,,0.88,,,0.88,,,,,,0.86,,0.88,0.88,,,,,,,0.88,0.66,,
