,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,relleno,relleno
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Producto,Medida,CASA DE LA CARNE CANGREJO,REY DE VIA ESPAÑA,RIBA SMITH BELLA VISTA,RIBA SMITH TRANSISTMICA,REY EL DORADO,SUPER 99 CAMINO REAL,SUPER 99 EL DORADO,SUPER 99 TUMBA MUERTO,XTRA TUMBA MUERTO,EL MACHETAZO COSTA SUR,EL MACHETAZO METRO MALL,SUPER 99 LOS PUEBLOS,SUPER 99 PEDREGAL,SUPER 99 PLAZA TOCUMEN,XTRA LAS ACACIAS,XTRA LOS PUEBLOS,REY CHANIS,SUPER 99 CHANIS,SUPER 99 PORTOBELO,REY 12 DE OCTUBRE,SUPER 99 VISTA HERMOSA,CASA DE LA CARNE VIA PORRAS,REY CALLE 50,SUPER 99 SAN FRANCISCO,SUPER 99 VÍA PORRAS,EL FUERTE SAN MIGUELITO,EL MACHETAZO SAN MIGUELITO,REY BRISAS DEL GOLF,REY VILLA LUCRE,SUPER 99 BRISAS DEL GOLF,SUPER 99 LOS ANDES,SUPER 99 VILLA LUCRE,XTRA MARKET  VILLA LUCRE,XTRA OJO DE AGUA,XTRA PAN DE AZÚCAR,EL MACHETAZO CALIDONIA,EL MACHETAZO SANTA ANA,REY BOMBERO SANTA ANA,SUPER 99 LA CUCHILLA CALIDONIA,EL MACHETAZO NVO. TOCUMEN,EL MACHETAZO PUNTA DEL ESTE,REY LAS AMERICAS,SUPER 99 24 DE DICIEMBRE,SUPER 99 MAÑANITAS,XTRA  24 DICIEMBRE,XTRA PACORA,EL FUERTE VILLA ZAITA,REY MILLA 8,SUPER 99 LA CABIMA,MINISUPER EL VETERANO,MINISUPER CD,ABA EL CANGREJO/BELLA VISTA,FRUTERÍA  MIMI,ABT. JUAN CARLOS - BETHANIA,MINISUPER - JANET - BETHANIA,ABT. ELENA - BETHANIA,MINISUPER - ESTELA - BETHANIA,MINISUPER - EL PROGRESO - PARQ LEFEVRE,MINISUPER - EL CHEVERE - PAR. LEFEVRE,ABT. PANAMÁ VIEJO - PAR. LEFEVRE,MINI SUPER MAGIC PAN,ABARROTERIA LOS AMIGOS,MINISUPER PUEBLO NUEVO,MINISUPER ROSITA,MINISUPER CHONSITO - PUEBLO NUEVO,MINISUPER FUENTE DE ORO - SAN FCO,MINISUPER ECLIPSE-SAN FCO.,MINISUPER LAM-SAN FRANCISCO,M/S DALLYS - BOCA LA CAJA,ABT. LEÓN-SAN MIGUELITO,MINISUPER FLORECIENTE,ABT. DENIA-SAN MIGUELITO,MINISUPER - JIMMY LIAO,MINISUPER - EXCELENTE -JUAN DÍAZ,MINISUPER - JUAN DÍAZ,MINISUPER JULY ZHANG- JUAN DÍAZ,M/S SUSANA LUO JUAN DIAZ,ABT - LA PAGODA,ABT. LA PAGODA NO. 2,M/S MULTI CARNES,M/S CABALLEROS LOO,MINISUPER PLAZA AMADOR,ABT EDITH- SANTA ANA,MINISUPER EXPRESO-CALIDONIA,MINISUPER ROY-CALIDONIA,MINISUPER EL MILENIO,M/S VILLA ZAITA,M/S OCÉANO,ABARROTERÍA BERAKA,,
Babilla (Carne de res de Primera) *,1 Kilogramos,,6.55,,6.55,6.55,,,,6.53,6.55,6.55,,6.55,,6.53,6.53,6.55,,,,,,6.55,6.55,6.55,,6.39,6.55,6.55,,6.55,,,6.37,6.06,6.55,6.49,6.55,6.55,6.55,6.55,6.55,,,6.53,6.53,,,6.55,,,,,,,,,,6.37,,,,,,,,,,,,,,,6.31,6.33,,,6.31,6.05,,,,,,,,,,,,
Bistec de Cinta *,1 Kilogramos,5.62,5.62,,5.62,5.62,5.62,,5.62,5.31,5.62,5.62,,,5.62,5.16,,5.62,5.62,,5.62,5.62,5.62,5.62,5.62,5.62,5.34,5.62,5.62,5.62,5.62,5.62,,,5.56,5.32,5.62,5.62,5.62,5.62,,4.89,,5.62,5.62,4.87,5.6,5.58,5.62,,,,,,5.62,,,,,5.4,,,,,,,,,,,,,,,,5.4,,,5.39,5.39,5.62,5.62,,5.62,,,,,,,,
Carne Molida de Primera *,1 Kilogramos,4.74,2.99,,4.74,,4.74,4.74,,,,,4.74,4.74,4.74,4.63,,2.99,4.74,4.74,,4.74,4.74,,4.74,4.74,,,,2.99,4.77,4.74,4.74,,2.96,4.56,4.74,,2.99,4.74,,,,4.74,4.74,,,2.98,2.99,4.74,,,,,,,,,,,,,,,,,4.74,,4.96,,,,,,,4.74,,,4.07,4.6,4.73,4.74,,,,,,,,,,
Carne para Sopa (Costilla) *,1 Kilogramos,,,,5.85,,,,,,,4.39,,,,4.37,4.97,,4.45,,,,,,4.45,4.45,4.35,,,,,,4.45,,,4.32,4.3,,,4.45,,,,,,,4.77,4.59,,,,,,,,,,,,4.41,,,,,,7.72,,,,,,,,,,,,,3.94,,5.84,,3.31,,,,,,,,,
Puerco Liso *,1 Kilogramos,7.8,6.25,11.83,11.83,,,6.35,6.35,5.36,6.19,,6.35,6.35,6.35,,6.33,6.25,,,6.25,6.35,7.8,,,6.35,5.15,5.59,,6.25,,,,,,,6.15,,6.25,6.35,,6.05,5.98,4.99,,5.36,,5.35,,6.35,,,,,,,,7.17,,7.72,6.94,,,7.17,7.17,6.61,6.61,,7.17,,,,7.17,,,6.61,,,5.39,5.92,5.62,,6.61,7.17,,,,6.5,7.17,7.17,,
Pulpa Negra *,1 Kilogramos,8.89,7.25,14.99,14.99,7.25,7.69,7.69,7.69,7,7.95,7.01,,7.69,7.69,7.55,6.99,7.25,7.69,7.69,7.25,7.69,8.89,7.25,,7.69,6.99,6.8,7.25,7.25,7.69,7.69,7.69,7.75,,6.77,7.03,7.95,7.25,7.69,5.98,7.39,7.39,7.69,7.69,7.12,7.12,6.99,,7.69,,,,,8.49,8.82,,8.27,,8.82,8.71,7.72,,,8.38,,8.27,,7.72,,,8.16,,8.71,8.27,8.71,,,7.59,6.8,,,8.6,8.71,8.49,,,8.71,8.27,8.49,,
Muslo de Pollo con Piel *,1 Kilogramos,3.83,4.54,4.49,3.65,3.99,3.25,3.45,3.45,3.38,3.95,3.75,4.15,3.45,3.45,3.23,3.23,3.99,,3.25,3.99,3.25,3.85,3.99,4.15,3.45,3.48,3.69,3.99,3.99,3.25,3.25,,3.46,7.55,3.23,3.75,3.89,3.99,3.45,3.95,3.95,3.95,3.45,3.45,3.38,3.38,3.89,3.99,,,,,,,,,,,3.86,3.86,,,,,,,,,,,,,4.08,3.86,,,,3.28,2.84,4.19,4.08,3.31,,3.2,,4.08,,,,,
Pechuga de Pollo con Piel *,1 Kilogramos,,2.4,4.25,4.25,3.09,3.69,3.69,3.35,3.85,3.25,3.55,3.35,3.69,3.69,3.53,3.33,3.99,,3.69,3.08,3.35,,3.08,3.35,3.69,3.05,3.15,3.08,6.25,3.35,3.35,3.69,3.02,3.23,,3.35,3.19,3.08,3.69,3.39,3.39,3.39,3.69,3.85,3.33,3.85,3.08,3.08,3.35,,,,,,3.86,,3.53,,3.86,3.86,,,,,,,,,,,4.08,3.86,,3.86,2.98,,,2.97,2.62,3.19,3.76,3.31,3.31,3.09,,3.31,3.64,,2.98,,
Pollo Entero s/plumas *,1 Kilogramos,,,2.73,2.73,2.3,2.49,2.49,2.49,2.28,2.25,2.06,2.49,2.49,2.49,1.95,1.95,2.3,2.49,2.49,2.3,2.49,2.79,2.3,2.49,2.6,1.96,1.97,2.3,2.3,2.49,2.49,2.49,2.13,3.06,1.95,2.25,1.99,2.3,2.49,1.97,1.99,1.97,2.19,2.49,1.95,1.95,2.18,2.3,2.49,,,,,2.6,2.6,,2.6,,2.43,2.2,2.54,,2.54,2.43,2.09,2.6,,2.47,,2.31,2.6,2.6,2.6,2.43,2.12,2.6,,2.05,1.98,2.2,2.2,2.2,2.18,2.43,,1.94,2.43,2.6,2.31,,
Pescado Corvina *,1 Kilogramos,,,8.85,,,,,8.39,,,6.75,,,,8.69,8.69,,,,,,,,,8.39,5.99,6.75,,,,,,,6.73,5.97,7.75,,,,6.75,6.75,6.75,8.39,,8.69,8.69,5.99,7.65,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.05,,,,,,,,,,,,
Sardina en Salsa de Tomate sin Picante *,155 Gramos,,,0.82,0.77,0.45,0.44,0.44,0.44,0.49,0.69,0.65,0.44,0.44,0.44,0.47,0.48,,0.44,0.67,0.45,0.44,0.65,0.76,0.67,,0.38,0.65,0.45,0.45,0.44,0.44,0.44,0.44,0.45,0.48,0.71,0.65,0.55,0.44,0.7,0.65,0.7,0.44,0.44,0.45,0.54,0.38,0.69,0.44,0.85,,0.7,0.95,0.85,0.6,0.75,,0.75,0.85,0.55,0.55,0.7,0.75,,0.75,0.85,0.8,0.85,,0.75,0.85,0.5,,0.8,0.5,0.65,0.65,0.49,0.39,0.65,0.6,0.8,0.85,0.5,0.85,,0.6,0.55,0.55,,
Tuna en Agua *,142 Gramos,,,,,,1.25,1.25,1.25,1.23,1.57,1.57,,1.25,1.29,1.03,1.23,1.75,,,1.75,1.05,1.56,,,,1.52,,1.75,1.75,1.25,1.26,1.25,1.25,1.14,1.12,,,,1.05,1.09,1.09,1.09,1.2,1.25,1.06,1.23,1.52,1.75,1.25,,,1.35,,1.5,1.5,1.85,,,,,1.5,1.65,,,,,,,,1.55,,1.75,,1.65,1.35,1.75,,1.15,1.19,,,,,,,,,,,,
Jamón Cocido Empacado 4x4 *,1 Kilogramos,7.47,10.78,,,7.94,7.61,7.61,7.47,7.3,7.61,7.61,7.47,7.61,7.61,7.43,7.43,7.94,7.47,5.49,7.94,,7.47,7.94,7.47,7.47,7.34,,7.94,7.94,7.47,,5.49,,7.25,7.28,7.61,7.61,,,,,,,7.61,,7.54,5.34,7.95,7.47,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mortadela Nacional con Pimienta (empacado) *,1 Kilogramos,,,,,,8.36,8.36,4.96,8.31,,8.38,,4.96,8.36,8.33,8.33,,,,,,,,,,8.09,8.38,,,4.96,8.36,8.36,8.31,8.29,,,,,,,,,,,,,4.87,,8.36,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Salchichas Nac Empacadas tipo frankfurter *,1 Kilogramos,7.17,7.39,7.61,7.67,3.42,3.42,4.63,3.42,3.42,3.42,3.42,3.42,3.42,3.42,3.42,3.42,7.39,,7.61,3.42,3.42,7.17,7.61,7.61,7.61,3.42,3.42,3.42,3.42,4.63,3.42,3.42,3.42,3.42,3.42,7.61,3.42,7.39,7.61,3.42,3.42,3.42,3.42,,3.42,3.42,3.42,3.42,3.42,,,,,7.17,,,7.72,,,,,,,7.39,,,,,,,,,7.17,,,,,3.42,3.42,,,,,,,,,,,,
Arroz de Primera *,1 Kilogramos,0.88,0.87,0.88,0.88,0.87,0.88,0.88,0.88,0.84,0.87,0.88,0.88,0.88,0.88,0.86,0.86,0.87,0.88,0.88,0.87,0.88,0.88,0.87,0.88,0.88,0.88,0.88,0.87,0.87,0.88,0.88,0.88,0.88,0.86,0.88,,0.88,0.88,0.88,0.88,0.88,0.88,0.88,0.88,0.86,0.88,0.88,0.87,0.88,,,,,0.88,0.88,0.88,0.88,,,,0.88,,,0.88,0.88,,0.88,0.88,,,0.88,0.88,0.88,,0.88,0.88,0.88,0.88,0.88,0.88,0.88,,0.88,,0.88,0.88,0.85,0.88,0.88,,
Codito *,454 Gramos,0.89,0.58,0.89,0.89,0.85,0.79,0.79,0.79,0.93,0.83,0.85,0.79,0.79,0.79,0.57,0.57,0.58,0.79,0.79,0.82,0.79,0.85,0.85,0.79,0.79,0.77,0.82,0.58,0.58,0.79,0.79,0.79,0.74,0.75,0.5,,0.75,0.45,0.79,0.75,0.75,0.75,0.65,0.79,0.77,0.77,0.77,0.79,0.79,1,1,1,0.98,1,0.9,0.95,0.95,0.85,,0.85,,1,0.85,0.9,0.9,0.85,0.85,0.85,1,1,0.9,1,0.85,0.85,0.95,1,0.75,0.85,0.72,0.95,0.95,1,0.9,0.8,0.95,0.8,0.85,0.85,0.85,,
Crema  de Maíz *,300 Gramos,,0.94,,,0.65,0.65,0.6,0.6,0.59,,0.6,0.6,0.6,0.65,0.58,0.58,0.79,0.7,0.65,0.65,0.6,0.82,,0.7,0.7,0.6,0.6,0.65,0.65,0.6,0.6,0.6,0.69,0.58,0.68,0.7,0.6,0.94,0.65,0.6,0.6,0.6,0.65,0.7,0.58,0.69,0.6,2.1,0.6,,,,1.05,,,,1,,,,,,,,,,,,,,,,,,,,,0.7,0.65,,,,,,,,,,,,
Hojuelas de Maíz (corn flakes) cajeta *,300 Gramos,,4.22,,3.21,,2.95,1.79,1.89,1.98,1.97,3.07,1.89,1.89,1.79,1.98,1.98,,,3.09,1.95,1.79,3.05,,,,3.15,2.92,1.95,1.95,1.89,1.89,1.79,1.98,1.98,1.98,,2.33,3.13,3.09,3.03,3.09,3.03,3.09,3.09,3.03,,3.15,0.58,1.79,,,,3.45,,2.5,,3,,,,,,,,3.25,,,,,,,,,2.65,3.5,,,2.99,2.99,3.55,,,,2.15,,2.5,,,3.55,,
Macarrones (espaguetti) Cal 3- 5 *,454 Gramos,0.59,0.58,0.59,0.59,0.69,0.58,0.58,0.58,0.55,0.57,0.59,0.54,0.58,0.58,0.53,0.52,0.58,0.58,0.58,,0.58,0.59,0.69,0.58,0.58,0.56,0.59,0.58,,0.58,0.58,0.58,0.56,0.5,0.5,0.55,0.59,0.58,0.58,0.54,0.57,0.54,0.58,0.58,0.55,0.57,0.56,,0.58,1,,1,,,0.59,,0.85,0.85,0.56,0.85,0.65,0.59,0.85,0.59,0.59,0.59,0.85,0.39,0.56,,0.59,0.59,,0.59,0.59,0.7,0.7,,0.58,0.59,0.85,0.59,0.59,0.59,0.85,0.6,0.85,0.59,0.59,,
Pan de Michita *,1 Kilogramos,,2.69,,,,,,,,,,,,,3,3,2.69,,,,,,,,,,,2.69,2.69,,,,,2.27,3,,,,,,3.95,,2.45,,3.17,,2.25,0.92,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.5,2.7,,,,,,,,,,,,
Pan Molde *,500 Gramos,0.92,,,0.92,0.92,0.92,0.92,0.92,0.9,0.91,0.91,,0.92,0.92,0.88,0.89,0.92,,0.92,0.92,,0.92,,,,0.89,0.91,0.92,,0.92,,0.92,0.9,0.87,0.87,0.92,0.91,,0.92,0.91,0.91,0.91,0.92,0.92,0.9,0.9,0.89,0.99,,,,,0.92,,,,0.92,0.92,,0.92,,,,0.92,0.92,,,,,,,0.92,,,0.92,,0.92,,0.92,0.92,0.92,,,,,,,0.92,,,
Tortilla de Maíz *,10 Unidades,,1.05,,1.54,1.05,1.09,1.25,1.09,0.94,1.1,1.1,1.09,1.09,1.09,0.94,0.94,0.99,1.09,1.15,,1.09,1.1,1.05,1.09,1.09,0.87,1.1,0.99,1.19,1.09,1.05,0.89,0.94,0.85,0.96,1.15,1.15,1.09,1.15,1.1,1.1,1.1,1.05,,0.94,0.96,0.89,2.42,1.05,,1.15,,1.25,1,1,1,1.1,1.05,,1,,1.1,1,1,1,,,1,1,1.1,1.25,1,1.1,1.1,1,1,1,0.95,0.99,0.95,1,1,1,1,1.25,1,1,1,1,,
Ají Dulce y/o picoloro *,1 Kilogramos,,2.42,,3.8,2.42,,2.2,,2.18,2.29,2.29,2.2,,2.2,1.28,,2.42,2.2,2.2,3.15,2.2,,2.42,2.2,,1.98,2.29,2.42,2.42,2.2,2.2,2.2,2.1,1.96,2.21,2.29,1.04,3.15,2.2,1.99,1.99,2.42,2.2,2.2,2.18,2.18,1.98,4.39,2.2,,2.76,,3.2,2.76,,,,2.2,,2.2,2.76,,,2.76,3.31,,,1.65,,2.2,2.65,,2.76,,,3.31,,1.76,1.96,1.65,1.5,2.76,2.2,,,2.2,,2.2,3.31,,
Ajo *,1 Kilogramos,3.75,,3.3,3.3,4.37,,3,3,2.73,,,3,,3,2.68,2.98,4.37,3,3,4.37,2.75,2.93,4.37,3,3,,2.92,4.37,4.37,3,3,3,2.73,2.73,2.92,,2.86,4.37,2.99,2.95,2.99,4.37,3,,2.98,,,1.6,3,,,,4.41,,,,,,,,4.41,,,,,,,2.76,,,,,,,,,,2.54,2.54,,,,,,,,,,,,
Cebolla Amarilla *,1 Kilogramos,1.76,,1.76,1.76,1.75,1.76,2.99,1.76,1.73,1.65,1.57,1.76,,1.76,1.55,1.55,,1.76,1.76,1.65,,,1.65,1.76,,1.52,1.6,1.65,1.76,1.76,1.76,1.76,,1.74,1.5,1.76,1.6,,,1.6,1.6,1.67,1.76,1.76,1.74,1.74,1.76,,1.76,1.76,1.76,1.76,1.76,1.76,1.76,1.76,1.76,1.76,1.76,1.76,1.76,1.76,1.76,1.76,1.76,1.76,,1.76,1.76,1.76,1.76,1.76,1.76,1.76,1.65,1.76,1.76,1.3,1.3,1.32,1.76,1.76,1.76,,1.76,1.76,1.76,1.76,1.76,,
Lechuga *,1 Kilogramos,,2.97,4.45,,,,1.76,2.99,2.62,2.75,,2.99,2.99,2.99,2.62,1.47,2.97,2.99,2.99,,,1.75,3.8,4.05,2.99,1.95,2.25,2.97,2.97,2.99,2.99,2.99,1.47,2.23,1.92,,2.75,3.8,3.04,2.75,2.75,3.8,2.99,2.99,2.62,2.23,2.25,0.88,2.99,3.42,3.31,3.31,3.25,2.76,3.97,,2.76,3.31,2.76,2.76,2.76,,3.31,3.86,3.31,2.76,,2.2,2.2,3.31,3.31,,3.31,3.31,2.76,3.31,2.76,2.18,2.18,2.76,3.86,3.31,2.2,,,4.41,2.73,3.31,3.86,,
Ñame Diamante *,1 Kilogramos,,0.88,,0.88,,,,,0.94,0.88,0.88,,,0.78,0.76,,0.88,0.78,,0.88,0.78,,0.88,0.78,,0.88,0.88,0.88,0.88,,,,,0.83,0.86,0.88,0.88,0.88,0.78,,,0.88,0.78,,0.76,0.86,,1.54,,,,,,,,,,,,0.88,0.88,,0.88,,,0.88,,,,0.88,,,,,,,,0.88,0.88,0.88,0.88,,,,,,,0.88,0.88,,
