,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,relleno,relleno
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Producto,Medida,CASA DE LA CARNE CANGREJO,REY DE VIA ESPAÑA,RIBA SMITH BELLA VISTA,RIBA SMITH TRANSISTMICA,REY EL DORADO,SUPER 99 CAMINO REAL,SUPER 99 EL DORADO,SUPER 99 TUMBA MUERTO,XTRA TUMBA MUERTO,EL MACHETAZO COSTA SUR,EL MACHETAZO METRO MALL,SUPER 99 LOS PUEBLOS,SUPER 99 PEDREGAL,SUPER 99 PLAZA TOCUMEN,XTRA LAS ACACIAS,XTRA LOS PUEBLOS,REY CHANIS,SUPER 99 CHANIS,SUPER 99 PORTOBELO,REY 12 DE OCTUBRE,SUPER 99 VISTA HERMOSA,CASA DE LA CARNE VIA PORRAS,REY CALLE 50,SUPER 99 SAN FRANCISCO,SUPER 99 VÍA PORRAS,EL FUERTE SAN MIGUELITO,EL MACHETAZO SAN MIGUELITO,REY BRISAS DEL GOLF,REY VILLA LUCRE,SUPER 99 BRISAS DEL GOLF,SUPER 99 LOS ANDES,SUPER 99 VILLA LUCRE,XTRA MARKET  VILLA LUCRE,XTRA OJO DE AGUA,XTRA PAN DE AZÚCAR,EL MACHETAZO CALIDONIA,EL MACHETAZO SANTA ANA,REY BOMBERO SANTA ANA,SUPER 99 LA CUCHILLA CALIDONIA,EL MACHETAZO NVO. TOCUMEN,EL MACHETAZO PUNTA DEL ESTE,REY LAS AMERICAS,SUPER 99 24 DE DICIEMBRE,SUPER 99 MAÑANITAS,XTRA  24 DICIEMBRE,XTRA PACORA,EL FUERTE VILLA ZAITA,REY MILLA 8,SUPER 99 LA CABIMA,MINISUPER EL VETERANO,MINISUPER CD,ABA EL CANGREJO/BELLA VISTA,FRUTERÍA  MIMI,ABT. JUAN CARLOS - BETHANIA,MINISUPER - JANET - BETHANIA,ABT. ELENA - BETHANIA,MINISUPER - ESTELA - BETHANIA,MINISUPER - EL PROGRESO - PARQ LEFEVRE,MINISUPER - EL CHEVERE - PAR. LEFEVRE,ABT. PANAMÁ VIEJO - PAR. LEFEVRE,MINI SUPER MAGIC PAN,ABARROTERIA LOS AMIGOS,MINISUPER PUEBLO NUEVO,MINISUPER ROSITA,MINISUPER CHONSITO - PUEBLO NUEVO,MINISUPER FUENTE DE ORO - SAN FCO,MINISUPER ECLIPSE-SAN FCO.,MINISUPER LAM-SAN FRANCISCO,M/S DALLYS - BOCA LA CAJA,ABT. LEÓN-SAN MIGUELITO,MINISUPER FLORECIENTE,ABT. DENIA-SAN MIGUELITO,MINISUPER - JIMMY LIAO,MINISUPER - EXCELENTE -JUAN DÍAZ,MINISUPER - JUAN DÍAZ,MINISUPER JULY ZHANG- JUAN DÍAZ,M/S SUSANA LUO JUAN DIAZ,ABT - LA PAGODA,ABT. LA PAGODA NO. 2,M/S MULTI CARNES,M/S CABALLEROS LOO,MINISUPER PLAZA AMADOR,ABT EDITH- SANTA ANA,MINISUPER EXPRESO-CALIDONIA,MINISUPER ROY-CALIDONIA,MINISUPER EL MILENIO,M/S VILLA ZAITA,M/S OCÉANO,ABARROTERÍA BERAKA,,
Babilla (Carne de res de Primera) *,1 Kilogramos,,6.55,6.55,6.55,,,,,6.53,6.55,6.55,6.55,,,6.29,,6.55,6.55,,6.55,,,6.55,,,,6.39,6.55,6.55,,,,6.53,6.37,,6.55,6.49,,,6.55,6.55,6.55,6.55,6.55,,6.31,,6.55,,,,,,,,,,,,,,,,,,,,,,,,,,,6.28,,,6.31,6.05,6.54,,,,,,,,,,,
Bistec de Cinta *,1 Kilogramos,5.62,5.33,5.62,5.62,,,,,,5.62,5.62,5.62,5.62,,5.16,5.56,5.62,,,5.62,5.62,5.62,5.33,5.62,5.62,,5.62,5.62,5.33,5.62,5.62,,4.93,4.87,,,5.62,,,5.62,4.89,5.62,5.62,5.62,5.6,5.6,5.58,5.62,5.62,,,,,,,,,,5.51,,,,,,,,,,,,,,,,,,,5.39,4.95,5.62,5.62,5.62,,,,,,5.4,,,
Carne Molida de Primera *,1 Kilogramos,,,,4.74,4.45,4.74,4.74,4.74,,,,4.74,4.74,4.74,,4.72,,4.74,4.74,,4.74,4.74,,4.74,4.74,4.58,,,4.45,4.74,4.74,4.74,,4.42,4.56,,,,4.74,,,,4.74,4.74,,,4.44,4.45,4.74,,,,,,,,,,,,,,4.74,,,,,,,,,,,,4.74,,,4.29,4.6,4.73,,,,,,,,,,,
Carne para Sopa (Costilla) *,1 Kilogramos,,,,,,,,,,4.45,4.39,4.45,4.45,4.45,4.28,4.28,,,,,,,,4.45,4.35,,,,,,,,4.43,4.43,,,,,,,,3.99,,,,,4.57,,4.45,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Puerco Liso *,1 Kilogramos,,,14.26,14.26,,4.39,,6.35,6.33,6.15,6.35,6.35,6.35,,6.33,6.33,6.25,6.35,,,6.35,7.8,,,6.35,5.31,5.18,,6.25,6.35,,,6.33,6.33,,5.18,6.35,,6.35,6.35,6.05,,6.35,,5.16,,5.35,,,,,,,7.17,,,7.17,,7.72,,7.17,,7.17,,,,,,,7.5,7.17,7.17,7.72,7.17,6.5,7.17,,5.39,5.92,5.62,7.72,6.61,7.17,,,6.61,,7.17,,,
Pulpa Negra *,1 Kilogramos,8.89,7.25,,13.18,8.26,7.69,7.69,7.69,7.66,7.65,7.95,7.69,7.69,7.69,7.66,7.22,7.25,7.69,7.69,7.25,7.69,8.89,7.25,,7.69,7.79,7.95,7.25,7.25,7.69,7.69,7.69,7.22,7.03,7,,7.95,,,7.95,7.03,7.25,7.69,,,7.66,7.35,7.25,,,,,,8.49,,,8.82,,8.82,,7.72,,8.6,8.49,,8.27,,7.72,,,8.16,7.72,8.71,8.27,8.71,8.71,,6.8,7.37,,8.69,8.6,8.71,,,8.27,,8.27,8.49,,
Muslo de Pollo con Piel *,1 Kilogramos,3.83,,4.49,,3.99,4.15,4.14,4.15,4.13,3.79,3.79,4.15,4.15,4.15,3.77,3.77,,4.15,4.15,3.99,4.15,3.83,3.99,4.15,4.15,3.5,3.49,3.99,3.99,4.15,4.15,4.15,3.97,3.47,3.58,3.65,3.89,3.98,4.15,3.65,3.95,,4.15,,3.62,3.62,3.89,3.99,4.15,,,,,,,,,,3.86,4.08,,,,,3.31,,,,,,,,,3.31,,,,3.28,3.06,4.19,4.67,3.31,,3.31,,4.41,3.31,,3.86,,
Pechuga de Pollo con Piel *,1 Kilogramos,4.25,,4.25,,3.08,3.85,3.89,3.85,3.58,3.25,3.55,3.85,3.85,3.85,3.74,3.58,3.25,3.85,3.85,3.25,3.85,4.12,3.25,3.85,3.85,3.05,3.15,3.25,3.25,3.85,3.85,3.85,3.58,3.03,3.02,3.35,3.19,3.08,3.85,3.25,3.39,3.08,,3.85,3.58,3.58,3.05,3.25,3.85,,,,,3.86,,,4.08,,3.86,3.86,,,,,3.31,,,,,,,3.64,,3.31,,,,2.97,3.75,3.63,3.65,3.31,,3.09,,3.53,3.64,3.2,2.98,,
Pollo Entero s/plumas *,1 Kilogramos,2.93,2.45,2.73,2.73,2.3,2.6,2.69,2.6,2.28,2.39,2.39,2.6,2.6,2.6,2.07,2.28,2.3,2.6,2.6,2.3,2.6,2.79,2.3,2.6,2.6,2.3,2.35,2.3,2.3,2.6,2.6,2.6,2.28,2.28,2.26,2.39,2.35,2.3,2.6,2.09,2.35,2.3,2.6,2.6,2.07,2.07,2.3,2.3,2.6,,,,,2.6,,,2.6,,2.2,2.2,2.54,,,2.43,2.09,2.6,,2.6,,2.31,2.6,2.6,2.6,2.43,2.12,,,2.09,2.09,2.2,2.2,2.2,2.18,2.43,,1.94,2.2,2.31,,,
Pescado Corvina *,1 Kilogramos,,,8.85,8.85,,8.39,,8.39,8.37,6.75,6.75,,,,8.69,8.69,,,,,,,8.29,,8.39,5.99,6.75,,,8.39,,,,6.73,5.96,7.75,,,,6.75,6.75,,8.39,,8.69,8.69,5.99,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sardina en Salsa de Tomate sin Picante *,155 Gramos,,0.69,0.82,0.78,0.59,0.41,0.44,0.44,0.49,0.65,0.65,0.44,0.44,0.44,0.47,0.39,0.59,0.44,0.44,0.69,0.44,0.65,0.69,0.41,0.44,0.62,0.65,0.45,0.45,0.41,0.44,0.44,0.38,0.36,0.36,0.65,0.65,0.75,0.44,0.69,0.65,0.65,0.44,0.44,0.48,0.45,0.38,0.59,0.44,0.85,0.85,,0.95,0.85,,0.95,0.65,0.75,0.65,0.85,0.55,0.8,0.75,0.5,0.8,0.65,0.8,0.85,0.8,0.75,0.55,0.5,0.85,0.55,0.85,0.65,0.65,0.49,0.45,0.55,0.6,0.8,0.85,0.75,0.85,0.6,0.8,0.55,0.55,,
Tuna en Agua *,142 Gramos,1.65,,1.7,1.7,1.75,1.25,1.25,1.25,1.04,,,1.05,1.05,1.25,1.52,1.23,1.75,1.25,1.25,1.3,1.25,1.41,1.75,1.25,1.05,1.55,1.57,1.75,1.3,1.25,1.05,1.25,1.13,1.05,1.52,1.57,,1.69,1.25,1.09,1.09,,,1.2,1.06,1.06,1.52,1.2,1.05,,,,1.85,,1.5,1.85,1.65,,1.6,1.55,,,1.65,1.55,,,,,,1.65,,,,1.65,,,1.65,1.15,1.12,1.25,1.45,,,,1.75,,,,,,
Jamón Cocido Empacado 4x4 *,1 Kilogramos,,7.83,,9.4,7.83,7.47,6.59,6.59,6.55,7.61,7.61,5.49,6.59,5.49,7.43,7.43,7.83,6.59,6.59,7.83,7.47,,7.83,6.59,6.59,7.34,7.61,7.83,7.83,6.59,7.47,5.49,,6.53,7.28,7.61,,,7.47,,,,,,,,7.32,7.83,7.47,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mortadela Nacional con Pimienta (empacado) *,1 Kilogramos,,,,8.4,8.58,5.18,8.36,4.96,8.31,,8.38,4.96,4.96,4.96,8.33,8.35,8.58,8.36,4.96,8.58,4.96,,,4.96,8.36,8.09,8.38,,,,4.96,4.96,8.31,8.07,8.05,,,,4.96,,,,,,,,8.09,,8.36,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Salchichas Nac Empacadas tipo frankfurter *,1 Kilogramos,7.17,3.42,,6.83,3.42,3.97,3.42,3.42,3.42,6.83,3.42,6.83,6.83,3.42,3.42,3.42,4.17,3.42,3.42,3.42,3.42,7.17,3.42,3.42,3.42,3.42,3.42,3.42,3.42,3.42,6.83,3.42,3.42,3.42,3.42,3.42,3.42,4.19,3.42,3.42,3.42,3.97,3.42,3.42,3.42,3.42,3.42,7.39,3.42,,,,7.17,,,,,,,,,,,7.17,7.17,,,,,,7.39,,,,,,,3.42,,,,,,,,,7.17,,,,
Arroz de Primera *,1 Kilogramos,0.88,0.87,0.88,0.88,0.87,0.88,0.88,0.88,0.87,,,0.88,0.88,0.88,0.88,0.88,0.87,0.88,0.88,0.87,0.88,0.88,0.87,0.88,0.88,0.88,0.88,0.87,0.87,0.88,0.88,0.88,0.88,0.86,0.87,,,0.87,0.88,,,0.87,0.88,0.88,0.86,,0.88,0.87,0.88,,,,0.88,0.88,,,,,,0.88,0.88,,0.88,0.88,0.88,,0.88,0.88,,0.88,0.88,0.88,0.88,0.88,0.88,0.88,0.88,,0.88,0.88,0.88,0.88,0.88,0.88,0.88,0.88,0.88,0.88,0.88,,
Codito *,454 Gramos,0.91,0.85,0.94,0.89,0.82,0.79,0.79,0.79,0.93,0.75,0.75,0.79,0.79,0.79,0.57,0.83,0.89,0.79,0.79,0.58,0.79,0.85,0.58,0.79,0.79,0.77,0.75,0.82,0.85,0.79,0.79,0.79,0.83,0.75,0.5,0.82,0.82,0.85,0.79,0.75,0.75,0.85,,0.79,0.84,0.73,0.77,0.58,0.79,1,,1,0.95,0.95,1,0.95,0.98,0.85,0.85,0.85,0.85,1,0.85,0.9,0.8,0.95,0.85,0.85,,1,0.9,0.9,0.85,1,0.95,1,0.85,0.85,0.72,0.95,0.95,1,0.9,0.8,0.95,0.85,0.9,0.85,0.85,,
Crema  de Maíz *,300 Gramos,,0.65,0.63,0.63,0.65,0.65,0.6,0.65,0.59,0.7,0.6,0.65,0.6,0.6,0.58,0.58,0.79,0.65,0.6,0.65,0.6,0.64,0.65,0.6,0.6,0.6,0.6,0.65,,0.6,0.6,0.6,0.63,0.58,0.59,,0.6,0.65,0.6,0.6,0.6,0.77,0.65,0.6,0.58,,0.69,0.79,0.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.7,0.75,,,,,,,1.15,1,,,,
Hojuelas de Maíz (corn flakes) cajeta *,300 Gramos,3.13,2.99,3.12,2.25,2.1,2.19,1.99,2.19,2.18,2.93,2.93,1.49,2.95,1.49,1.98,1.98,2.1,1.99,1.49,1.95,1.79,3.05,1.95,1.49,1.49,1.98,1.97,1.95,1.95,1.99,1.99,1.49,1.98,1.98,1.98,,2.95,2.15,1.79,2.49,2.95,3.15,2.95,2.95,2.92,2.92,3.15,3.13,1.79,,,,,,,,,,,,,,,2.5,3.25,,,,,,,,,,3.5,,,,2.99,,,,,,,2.5,2.55,,2.85,,
Macarrones (espaguetti) Cal 3- 5 *,454 Gramos,0.59,,0.59,0.59,0.58,0.58,0.63,0.58,0.55,0.57,0.55,0.54,0.58,0.58,0.52,0.53,0.59,0.63,0.58,0.58,0.58,0.59,0.58,0.58,0.58,0.56,0.59,0.69,0.59,0.58,0.58,0.58,0.56,0.5,0.5,0.55,0.55,,0.58,0.57,0.57,0.69,0.58,0.58,0.55,0.55,0.56,0.58,0.58,,,,0.95,0.59,0.59,,0.59,0.59,0.65,0.85,0.59,0.59,0.85,0.59,0.85,0.7,0.59,0.59,0.59,,0.59,0.59,,0.59,0.59,0.59,0.7,0.59,0.59,0.59,0.75,0.59,0.59,0.59,0.85,0.6,0.59,0.59,0.59,,
Pan de Michita *,1 Kilogramos,,,,,,,,,,,,2.45,2.45,2.45,3,3,,,,,,,2.69,,2.45,,,,2.69,,,3.5,3,3,,,,,,,3.95,2.69,,3.5,3.2,3.3,,2.69,2.45,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.7,,,,,,,,,,,,
Pan Molde *,500 Gramos,,0.92,0.92,0.92,0.92,0.92,0.92,0.92,0.9,0.91,0.92,0.92,0.92,0.92,0.89,0.89,0.92,0.92,0.92,,0.92,0.92,0.92,0.92,0.92,0.92,0.91,0.92,,0.92,0.92,,0.9,0.87,0.87,0.91,0.91,0.92,0.92,0.91,0.91,0.92,,0.92,0.9,0.9,0.89,0.92,0.92,,,,0.92,,0.92,,,0.92,,,,,,0.92,0.92,,,,,,,0.92,,0.92,0.92,0.92,0.92,0.92,0.92,0.92,0.92,0.92,0.92,,,0.92,,0.92,,,
Tortilla de Maíz *,10 Unidades,1.1,1,1.45,1.45,,0.99,0.99,0.99,0.94,1.1,1.1,0.99,0.99,1.05,0.94,0.94,1.05,0.99,,0.85,0.99,1.1,0.85,0.99,0.99,0.87,1.1,1.05,0.85,1.05,0.99,0.89,0.85,0.85,0.94,1.1,0.98,1,0.99,0.98,0.98,0.99,0.99,0.99,1.1,1.11,0.87,0.99,0.99,,1.15,,1.25,1.25,1,1,1,1.05,1,1,1,1.25,1,1,1,1,,,1,1,1.25,1,1.1,1.1,1,1,1,0.79,0.85,0.95,1,1,1,1,1,1,1,1,1.35,,
Ají Dulce y/o picoloro *,1 Kilogramos,,,,,2.42,2.2,,2.2,2.18,2.2,2.29,2.2,2.2,2.2,2.18,2.18,3.15,3.88,2.2,3.15,2.2,2.05,3.25,2.2,2.2,2.24,2.29,3.15,3.15,2.2,2.2,2.2,2.68,2.18,2.21,,2.49,,2.2,2.29,2.25,2.15,2.2,2.2,,2.18,2.17,3.15,2.2,3.31,2.76,2.2,,,,,3.31,2.2,2.76,,2.76,,3.31,1.98,3.31,2.76,,2.2,,2.2,,1.65,2.76,,2.76,3.31,,2.62,1.65,,3.31,2.2,,,,,,2.43,2.2,,
Ajo *,1 Kilogramos,3.75,4.37,3.3,3.3,4.37,2.99,,2.99,2.73,2.95,2.95,2.75,2.75,2.75,2.73,2.73,4.3,2.75,2.75,4.37,2.19,3.6,4.37,2.75,2.75,,2.95,,4.37,2.75,2.75,2.99,2.73,2.93,2.93,2.95,2.95,,2.76,2.95,2.95,4.37,2.75,2.75,3.05,2.98,,4.37,2.75,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.54,2.54,,,,,,,,,,,,
Cebolla Amarilla *,1 Kilogramos,,1.65,1.76,1.76,1.75,1.76,1.76,1.76,1.73,1.76,1.76,1.76,1.76,1.76,1.7,1.74,1.65,1.76,1.76,,1.76,1.76,,1.76,1.76,1.71,1.76,1.75,1.65,1.76,1.76,1.76,1.74,1.73,1.74,1.76,1.76,1.75,1.76,1.76,1.76,,1.76,1.76,1.73,1.73,1.76,1.65,1.76,1.76,1.76,1.76,1.76,1.76,1.76,1.76,1.76,1.76,1.76,1.76,1.76,1.76,1.76,1.76,1.76,1.76,,1.76,,1.76,1.76,1.32,1.76,1.76,1.76,1.76,1.76,1.76,1.76,1.76,,1.76,1.76,,1.65,1.76,1.76,1.65,1.76,,
Lechuga *,1 Kilogramos,1.91,2.97,4.45,4.45,2.97,,2.99,2.99,,1.98,1.98,2.99,2.99,2.99,2.68,2.68,3.8,2.99,2.99,3.8,3.04,1.75,3.8,2.99,2.99,2.21,1.49,3.35,3.8,2.99,2.99,2.99,2.68,2.23,1.95,1.49,1.49,2.97,3.04,1.98,1.98,,,2.99,2.68,2.68,2.25,3.8,2.99,2.76,3.31,2.2,3.86,3.31,2.2,,2.76,3.31,2.76,2.76,2.76,,3.31,3.31,3.31,,,2.2,2.76,3.31,3.31,2.2,3.31,3.31,2.2,3.86,3.31,2.75,2.75,2.76,3.86,2.76,2.2,,3.31,2.2,3.31,1.87,2.2,,
Ñame Diamante *,1 Kilogramos,,,,,,0.78,0.78,,,,,,0.78,,,,,0.78,,0.88,,,0.88,0.78,,,,,,,,,,,,,,0.88,,,,,,,,,,,,,,,,,,,,,0.88,,,,,0.88,,,,,,,,,0.88,,,,,,0.88,,0.88,,,,,,,,0.88,,
